status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
84917689333_10155901758329334,"So much to dip, so little time.",,photo,https://www.facebook.com/applebees/photos/a.106500769333.92005.84917689333/10155901757874334/?type=3,2017-12-02 15:00:01,3094,106,119,2844,222,17,5,2,4,0
84917689333_10155929053024334,Start your holiday celebrations early this year.,,photo,https://www.facebook.com/applebees/photos/a.106500769333.92005.84917689333/10155929052779334/?type=3,2017-12-01 16:00:01,2181,893,1347,1884,186,89,12,2,8,0
84917689333_10155926022344334,I'm ready for my close-up.,Timeline Photos,photo,https://www.facebook.com/applebees/photos/a.106500769333.92005.84917689333/10155926022344334/?type=3,2017-11-30 12:00:14,310,28,18,287,20,1,2,0,0,0
84917689333_10155923924904334,"Vodka. Rum. Gin. Tequila. Triple Sec. All in one drink for a single dollar?! Honestly, what more could you ask for? Meet Applebee’s $1 Long Island Iced Tea starting on December 1st. Did we mention it’s a dollar?",,photo,https://www.facebook.com/applebees/photos/a.106500769333.92005.84917689333/10155923924224334/?type=3,2017-11-29 18:47:27,14228,13407,19747,10774,1636,1593,168,24,33,0
84917689333_10155867528039334,Cross one more thing off your holiday wishlist.,,photo,https://www.facebook.com/applebees/photos/a.106500769333.92005.84917689333/10155867527644334/?type=3,2017-11-24 12:00:00,913,43,42,864,39,6,1,0,2,1
84917689333_10155907530204334,Shoutout to all Applebee's lovers out there—we're most thankful for you!,,video,https://www.facebook.com/applebees/videos/10155907530204334/,2017-11-23 12:00:32,417,25,30,379,37,0,0,0,0,1
84917689333_10155867523894334,The weekend starts whenever you say it does 🍻,,photo,https://www.facebook.com/applebees/photos/a.106500769333.92005.84917689333/10155867522934334/?type=3,2017-11-21 14:00:02,1880,72,87,1773,83,7,11,0,4,2
84917689333_10155900225104334,"Don't worry, it's okay to stare.",,video,https://www.facebook.com/applebees/videos/10155900225104334/,2017-11-20 18:00:56,130,11,15,119,6,4,0,0,0,1
84917689333_10155867519184334,Go all-in with our all-new Pair of Jacks.,,photo,https://www.facebook.com/applebees/photos/a.106500769333.92005.84917689333/10155867517589334/?type=3,2017-11-17 14:00:00,3149,97,156,2967,139,25,12,0,4,2
84917689333_10155888761524334,1/2 priced apps? Slam dunk.,,video,https://www.facebook.com/applebees/videos/10155888761524334/,2017-11-16 17:00:33,312,22,25,288,17,5,1,0,0,1
