status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10461186460_10155171681276461,"Dessert < dessert dipped in more dessert.

Check out the full recipe here: http://benjerrys.co/2BAjYtc",,video,https://www.facebook.com/benandjerrysUS/videos/10155171681276461/,2017-12-03 12:00:47,39,4,5,35,3,1,0,0,0,0
10461186460_10155167076806461,"You’re a total Caramel Almond Brittle, we know it.",QUIZ: Which Non-Dairy Flavor Are You?,link,http://www.benjerry.com/whats-new/2017/11/which-non-dairy,2017-12-01 12:20:52,106,41,5,91,14,1,0,0,0,0
10461186460_10155165309241461,The best thing we can do to confront racial injustice is learn more about how racism affects people of color every day—and then take action to make a change.,8 Things You Should Care About if You Care About Racial Justice,link,http://benjerrys.co/2j4CL8l,2017-11-30 16:21:08,155,14,27,132,20,0,2,1,0,0
10461186460_10155163053611461,"Ready to get inspired? Join us Monday, December 4th at the Howard Theatre in Washington, DC for We Are Here, an evening of music, enlightenment, and activism for justice and equality.",We Are Here: Join Us For An Evening Of Music And Enlightenment,link,http://www.benjerry.com/whats-new/2017/11/we-are-here-event,2017-11-29 15:05:47,67,11,5,61,5,0,0,0,1,0
10461186460_10155160369361461,"If you value justice, community, and equality, these causes are for you.",7 Causes That Need Your Help This Giving Tuesday,link,http://benjerrys.co/2j0XmKL,2017-11-28 12:12:18,65,18,4,55,7,0,1,1,1,0
10461186460_10155158303026461,Got a dough lover on your list? A chocoholic? Browse perfectly curated gift packs for every type of ice cream lover.,Ben & Jerry's Gift Packs Now Available!,link,https://store.benjerry.com/cookie-dough-lovers-gift-pack/,2017-11-27 14:56:09,344,90,957,279,47,7,10,0,1,0
10461186460_10155155732866461,"Go ahead, have a milkshake for brunch. We won't tell Mom.",You Need This Maple Pumpkin Pie Milkshake In Your Life,link,http://benjerrys.co/2AQoLWn,2017-11-26 12:00:04,312,51,51,253,35,22,1,0,1,0
10461186460_10155153486206461,And you thought ice cream was just for summer.,3 Winter Ice Cream Recipes That Will Put You In The Holiday Spirit,link,http://benjerrys.co/2isQWni,2017-11-25 12:00:03,92,8,17,82,9,1,0,0,0,0
10461186460_10155151160651461,Protect that pint! Get your very own Pint Lock here: http://benjerrys.co/2A06972,Timeline Photos,photo,https://www.facebook.com/benandjerrysUS/photos/a.332585921460.158119.10461186460/10155151160651461/?type=3,2017-11-24 12:00:11,18394,8309,8197,9585,1098,170,7534,6,2,-1
10461186460_10155148969141461,Thanksgiving à la mode.,Timeline Photos,photo,https://www.facebook.com/benandjerrysUS/photos/a.332585921460.158119.10461186460/10155148969141461/?type=3,2017-11-23 12:00:07,155,12,3,143,11,1,0,0,0,0
10461186460_10155146822846461,"Some countries are stepping up, and some — one in particular — is falling short.",The Surprising Countries That Are Resettling Incredible Numbers of Refugees,link,http://benjerrys.co/2hT8cVT,2017-11-22 11:49:45,142,50,13,111,9,2,3,14,3,0
10461186460_10155144035026461,Pie + ice cream = ❤️,Save Room for Dessert: 6 Amazing Pie and Ben & Jerry's Pairings,link,http://benjerrys.co/2hJ27LE,2017-11-21 12:00:05,176,9,32,153,19,4,0,0,0,0
10461186460_10155141684211461,"Moon's up, spoons up. 

Learn more about Marshmallow Moon here: http://benjerrys.co/special-stash",Marshmallow Moon Gif,video,https://www.facebook.com/benandjerrysUS/videos/10155141419066461/,2017-11-20 14:14:47,366,57,21,326,33,6,1,0,0,0
10461186460_10155138972641461,"Thanksgiving is coming, and the fam is going to love this. 

Full recipe here: http://benjerrys.co/2hL7Gcp",,video,https://www.facebook.com/benandjerrysUS/videos/10155138972641461/,2017-11-19 11:20:24,433,71,112,372,34,27,0,0,0,0
10461186460_10155134229946461,Sometimes you need an expert opinion.,8 Flavor Guru-Approved Milkshake Flavor Pairings,link,http://benjerrys.co/2zapoO1,2017-11-17 12:10:59,142,23,6,133,9,0,0,0,0,0
10461186460_10155131982221461,President Trump could learn a thing or two from conservative icons Ronald Reagan and George H.W. Bush: refugee resettlement hit record numbers during both administrations.,10 Things Trump Gets Wrong About Refugees,link,http://www.benjerry.com/whats-new/2017/11/trump-wrong-about-refugees,2017-11-16 12:41:46,189,77,17,162,15,6,2,1,3,0
10461186460_10155129828721461,Your daily scoop of optimism!,8 Inspiring Good News Stories That Will Make Your Day,link,http://benjerrys.co/2mudnNj,2017-11-15 12:12:02,101,9,22,87,14,0,0,0,0,0
10461186460_10155122597611461,We don't blame you if you don't want to share these.,,video,https://www.facebook.com/benandjerrysUS/videos/10155122597611461/,2017-11-12 11:00:56,652,246,103,542,84,24,1,1,0,0
10461186460_10155120385601461,"Don't worry, we have a search party looking for the dish and the spoon (you're going to need them).

Learn more here: http://benjerrys.co/special-stash",,video,https://www.facebook.com/benandjerrysUS/videos/10155120385601461/,2017-11-11 12:01:03,824,112,48,718,80,18,6,2,0,0
10461186460_10155117853541461,Are you fan enough for this?,Make Your Own Ben & Jerry’s Ice Cream With the VIP Factory Tour Experience,link,http://www.benjerry.com/whats-new/2017/11/vip-tour-experience,2017-11-10 12:12:25,1169,393,227,923,135,109,2,0,0,0
10461186460_10155115553281461,"The pint that's as sweet as its message.

Learn more here: http://benjerrys.co/onesweetworld",,video,https://www.facebook.com/benandjerrysUS/videos/10155115553281461/,2017-11-09 13:18:12,824,222,39,669,124,26,2,2,1,0
10461186460_10155113263436461,"The Pathway to Paris concert ended late Sunday night, but we’re still excited thinking about everything we saw and heard there. And with #COP23 underway, the time to take action on climate change is now!",Our 10 Favorite Things at Pathway to Paris,link,http://benjerrys.co/2AtK8xa,2017-11-08 13:02:46,42,7,4,37,4,0,1,0,0,0
10461186460_10155109006631461,"Art? Check. Activism? Check.

Learn more and take action: http://benjerrys.co/2ya4QAK",Pathway to Paris,video,https://www.facebook.com/benandjerrysUS/videos/10155109003566461/,2017-11-06 16:15:31,62,12,8,50,9,1,1,0,1,0
10461186460_10155106398626461,"Live from Carnegie Hall: Pathway to Paris! A night of music, art, and climate action.",Pathway to Paris Brings Music And Climate Activism Together,video,https://www.facebook.com/benandjerrysUS/videos/10155106398626461/,2017-11-05 18:54:44,608,204,509,327,260,9,6,5,1,0
10461186460_10155105825566461,"Join us at 7:00 for a live stream of Pathway to Paris, an evening of music and climate action!",Timeline Photos,photo,https://www.facebook.com/benandjerrysUS/photos/a.332585921460.158119.10461186460/10155105825566461/?type=3,2017-11-05 10:00:06,26,1,6,22,4,0,0,0,0,0
