status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
124149619252_10155902697909253,,Chipotle Mexican Grill's cover photo,photo,https://www.facebook.com/chipotle/photos/a.10150672519474253.415270.124149619252/10155902697609253/?type=3,2017-12-01 21:03:58,816,24,18,705,100,8,2,0,1,0
124149619252_10155891638919253,That chip has sailed.,Timeline Photos,photo,https://www.facebook.com/chipotle/photos/a.132022259252.104096.124149619252/10155891638919253/?type=3,2017-11-27 19:45:01,3222,242,132,2868,299,17,34,1,2,1
124149619252_10155885984124253,Went bowling and got a spare.,Timeline Photos,photo,https://www.facebook.com/chipotle/photos/a.132022259252.104096.124149619252/10155885984124253/?type=3,2017-11-25 13:30:00,3295,183,136,2836,392,8,54,1,3,1
124149619252_10155880480324253,"This year we’ve shared over 434 million meals with you. Thanks for letting us sit at your table.

Most of our restaurants are closed today, but we'll see you for #BlackFriday burritos tomorrow.",Timeline Photos,photo,https://www.facebook.com/chipotle/photos/a.132022259252.104096.124149619252/10155880480324253/?type=3,2017-11-23 10:00:00,405,21,10,384,21,0,0,0,0,0
124149619252_10155876632734253,When you have a potluck Friendsgiving and everyone brings Chipotle. #GreatMindsEatAlike,Timeline Photos,photo,https://www.facebook.com/chipotle/photos/a.132022259252.104096.124149619252/10155876632734253/?type=3,2017-11-21 20:30:02,1352,134,64,1181,146,1,23,1,0,0
124149619252_10155927763358033,"This holiday season, give (and get) the gift of burritos. Buy $30 or more in gift cards at any Chipotle between November 20th and December 24th, then bring in your receipt on your next visit (before December 31st, 2017) for a BUY-ONE/GET-ONE FREE burrito, bowl, salad, or order of tacos. Check it out: chip.tl/giftcardpromo1",,video,https://www.facebook.com/chipotle/videos/10155927763358033/,2017-11-20 09:00:00,671,155,125,612,40,9,8,0,2,0
124149619252_10155862142119253,"Download our new app and get FREE Chips & Guac or Chips & Queso with your first iPhone order. Yes way. 

Offer available for iOS downloads for a limited time, with first time sign up or sign in, from 8:00AM EST on 11/17/17 through 11:59PM EST on 12/1/17.  Offer can be redeemed through 12/21/17.  Limit one free item per account; free item requires purchase of a regular priced entrée and is subject to availability.  May not be combined with other coupons, promotions, or special offers.  Additional restrictions may apply; void where prohibited.",FREE GUAC OR QUESO WITH YOUR FIRST IPHONE APP ORDER,link,http://itunes.apple.com/app/id327228455,2017-11-17 08:00:00,175,173,56,140,7,3,2,3,20,0
124149619252_10155856485709253,"The picky eater’s pick. 
Pro tip: Kids can either build their own tacos or have a quesadilla. Our kids meals also come with seasonal fruit or chips and juice or organic milk. We know…#toughchoices",Timeline Photos,photo,https://www.facebook.com/chipotle/photos/a.132022259252.104096.124149619252/10155856485709253/?type=3,2017-11-14 19:45:02,2928,267,127,2661,222,11,27,4,3,0
124149619252_10155843870939253,"Avocados, ahuacates, alligator pears, butter fruit, and even cheese pears. Whatever you call them, they’re the primary ingredient in our deliciously creamy guacamole. Which, as you most likely know, is extra. But why is it extra? It’s in the hands. In avocado groves at harvest time, every avocado is picked by hand to avoid bruising the fruit or letting any hit the ground. Then they’re carefully sorted and checked by hand for defects, blemishes and bruises before being gently packed for shipment to grocery stores and restaurants. When the avocados reach our restaurants, they’re hand washed, hand cut, hand scooped, and hand-mashed. Like all things hand-made, that extra effort translates into extra cost, but also into extra deliciousness. At Chipotle, we go through almost 73 million pounds of avocados each year, 200 thousand pounds per day, 48-70 per batch, to make our guacamole. Who loves it? Show of hands.",Timeline Photos,photo,https://www.facebook.com/chipotle/photos/a.132022259252.104096.124149619252/10155843870939253/?type=3,2017-11-10 12:15:01,4658,396,229,3962,635,47,8,0,6,0
124149619252_10155842275474253,"""...every time you have a dinner party, people are in the kitchen. People want to be in the kitchen. And so Chipotle was designed to invite people in, to bring them close to where the action is.""

Hear more about how our founder and CEO, Steve Ells, created the Chipotle brand (sort of on accident) in a recent episode of How I Built This with NPR's Guy Raz.",How I Built This with Guy Raz by NPR on Apple Podcasts,link,https://itunes.apple.com/us/podcast/how-i-built-this-with-guy-raz/id1150510297?mt=2&i=1000394164039,2017-11-09 20:33:47,66,6,7,62,3,1,0,0,0,0
