status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
20531316728_10156814391576729,We're inspired by how much good can come from bringing communities together. See what we announced at our 2nd annual Social Good Forum.,,video,https://www.facebook.com/facebook/videos/965313099422/,2017-12-01 21:16:05,10970,469,580,10303,462,114,46,2,22,21
20531316728_10156809736156729,This week Mark spoke at the second annual Social Good Forum in New York. He announced new tools and initiatives to help people keep each other safe and supported on Facebook.,Social Good Forum,video,https://www.facebook.com/facebook/videos/10156809736156729/,2017-11-30 18:05:53,33872,2182,3152,31371,1813,331,170,30,131,26
20531316728_10156805627406729,"M Anne was so proud of her autistic son's artwork that she put it on a shirt and created Autistic Hero Teeshirts. Now other kids with autism are showcasing their creativity there, too. See more stories at www.facebook.com/CommunityVoices",Autistic Heroes,video,https://www.facebook.com/facebook/videos/10156805627406729/,2017-11-29 19:10:44,94904,3607,23991,78254,14862,1619,100,26,12,31
20531316728_10156772712166729,Try Facebook Polls! Get answers to those burning questions...like should you selfie now or not?,,status,,2017-11-21 16:52:25,6913,1060,321,5617,342,45,839,3,28,39
20531316728_10156737918221729,"Meet Chris, who brought people together with a shared love of catching fish. He now calls them his “fishing family.”",Keep Austin Fishing,video,https://www.facebook.com/facebook/videos/10156737918221729/,2017-11-20 19:00:00,129763,4953,18103,118869,9752,731,224,27,39,121
20531316728_10156765527136729,"Introducing Maker Faire, an organization that uses Facebook Events to bring their community together in person. Maker Faire unites makers of all kinds—from drone pilots to robot builders to nurses who make life-saving devices—then helps them stay connected with each other in between gatherings. Connect in person with communities you’re into at www.facebook.com/events",Introducing Maker Faire,video,https://www.facebook.com/facebook/videos/10156765527136729/,2017-11-20 09:00:00,4408,372,284,4062,184,82,11,4,9,56
20531316728_10156746971476729,Facebook for Creators is here! Find out how to turn that amazing thing you do into an even more amazing thing. Tap here to get inspired and learn more: www.facebook.com/creators,Welcome to Facebook for Creators,video,https://www.facebook.com/facebook/videos/10156746971476729/,2017-11-15 19:45:10,16672,1142,4249,14587,1637,275,69,11,20,73
20531316728_962099210082,"When foreign entities use fake accounts in an attempt to influence elections, it hurts our community. We're taking action today to stop foreign interference. Learn more about our plan at Facebook.com/actionplan",,video,https://www.facebook.com/facebook/videos/962099210082/,2017-11-15 19:36:05,2705,1131,562,2197,173,36,239,5,43,12
20531316728_10156746728201729,Former Georgetown University student Febin wanted to give back to the people who take care of his campus and give them credit for all they do. So he created the Unsung Heroes Page. See more stories at www.facebook.com/CommunityVoices (http://www.facebook.com/communityvoices),Unsung Heroes,video,https://www.facebook.com/facebook/videos/10156746728201729/,2017-11-15 18:30:00,200824,7194,25773,177158,20764,2269,216,55,58,304
20531316728_10156725574856729,"This Veterans Day, join all of us at Facebook in saluting the entire community of veterans, service members, and their families. #TheyServed.",,photo,https://www.facebook.com/facebook/photos/a.376995711728.190761.20531316728/10156725489916729/?type=3,2017-11-11 03:00:00,102613,3644,7288,94876,7083,269,63,55,30,237
20531316728_10156721565116729,"Introducing Facebook Local, a new app that lets you browse all the cool things happening where you live or where you’re traveling to. Discover everything from local events to the best waffles in town. All from your friends. All in one place on Facebook Local. Download and try it now. facebook.com/local",Timeline Photos,photo,https://www.facebook.com/facebook/photos/a.376995711728.190761.20531316728/10156721565116729/?type=3,2017-11-10 08:45:00,829,274,140,750,41,21,0,1,10,6
20531316728_10156648524256729,"Join us at F8 2018 to experience what’s next for Facebook. May 1-2, San Jose, CA. Sign up to receive updates at http://www.f8.com/.","F8 on May 1-2, 2018: Save The Date!",video,https://www.facebook.com/facebook/videos/10156648524256729/,2017-10-24 12:03:05,11383,2451,1024,10541,400,162,22,16,27,215
