status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
104958162837_10155927474292838,An Eye Fit for Liberty: How a dad used YouTube to learn how to make his daughter a better prosthetic eye → goo.gl/MdjknS,An Eye Fit for Liberty,video,https://www.facebook.com/Google/videos/10155927474292838/,2017-11-29 13:24:49,597,73,54,515,61,18,2,1,0,0
104958162837_10155924588947838,"What is that? A Google Pixel 2. 
What can it do? A lot! goo.gl/StBL7m",Google Pixel 2 | Ask more of your phone,video,https://www.facebook.com/Google/videos/10155924588947838/,2017-11-28 14:14:06,1206,131,172,967,152,16,68,1,1,1
104958162837_10155922212452838,"Hear from Olivia, a member of our Google American Indian Network, on how we're partnering with Native communities → goo.gl/UXvuMk #NativeAmericanHeritageMonth",Celebrating Native American Heritage Month,video,https://www.facebook.com/Google/videos/10155922212452838/,2017-11-27 17:50:12,540,39,60,481,51,8,0,0,0,0
104958162837_10155901406227838,Did you hear that? Nat & Friends bring the noise to show how machines are learning to recognize sounds → g.co/go/NFSound,Nat & Friends: Sound Understanding Sneak Peek,video,https://www.facebook.com/Google/videos/10155901406227838/,2017-11-20 16:23:35,810,130,82,737,48,14,5,0,0,6
104958162837_10155881939512838,"Starting as a Google project in 2009, Waymo has self-driven more than 3.5 million miles to get ready for this moment → https://goo.gl/Py5UHg",Waymo,video,https://www.facebook.com/Waymo/videos/1897672430549061/,2017-11-13 12:33:13,2519,254,0,2187,162,149,8,4,4,5
104958162837_10155876433362838,"This #VeteransDay, hear from Navy SEAL vet and Google VP of Global Security, Chris Rackow, on how we're supporting those who served → goo.gl/AG9ZHE",,photo,https://www.facebook.com/Google/photos/a.404124792837.181416.104958162837/10155876432772838/?type=3,2017-11-11 12:26:55,1510,195,102,1413,67,5,2,14,1,8
104958162837_10155868343857838,"Meet the machine learning makers of the Google Brain team. From improving people's lives to creating the back-up band of the future, see what makes these deep learning researchers geek out about AI → goo.gl/7osvh5",Meet a few of our machine learning makers,video,https://www.facebook.com/Google/videos/10155868343857838/,2017-11-08 12:13:41,1286,172,143,1179,82,13,1,1,2,8
104958162837_10155862793417838,"If you're over the old way of doing things, you #Chromebook. See how you can watch, listen, create, work—all in one place.","If you're over the old way of doing things, you #Chromebook.",video,https://www.facebook.com/Google/videos/10155862793417838/,2017-11-06 11:41:52,900,110,111,824,45,5,17,0,3,6
104958162837_10155848439902838,"With the world as their canvas, see how creators are pushing creative boundaries in augmented reality with #ARCore → g.co/ARexperiments",AR Experiments: Expanding creative possibilities with ARCore,video,https://www.facebook.com/Google/videos/10155848439902838/,2017-11-01 15:38:50,1382,133,231,1235,84,46,3,3,1,10
104958162837_10155844461527838,"Our #Halloween #GoogleDoodle follows Jinx, a lonely ghost on a quest for the perfect costume—and a place to belong → https://goo.gl/ePmDES",Google Doodle: Halloween 2017,video,https://www.facebook.com/Google/videos/10155844461527838/,2017-10-31 10:02:47,1286,93,191,1134,112,20,6,1,6,7
