status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
156794164312_10155926926834313,Here's to a whole month of festive feelings.,,video,https://www.facebook.com/harrypottermovie/videos/10155926926834313/,2017-12-01 12:01:40,42990,887,2560,35361,7235,359,29,6,0,0
156794164312_10155924271854313,It's brilliant.,,video,https://www.facebook.com/harrypottermovie/videos/10155924271854313/,2017-11-30 12:28:51,8196,91,259,6824,1270,84,13,3,0,2
156794164312_10155921088639313,"""The happiest man on earth would look into the mirror and see only himself."" - Dumbledore",,video,https://www.facebook.com/harrypottermovie/videos/10155921088639313/,2017-11-29 09:02:05,11001,146,510,9384,1484,78,8,43,1,3
156794164312_10155915942894313,Actor Matthew Lewis on Neville's journey throughout the films.,,video,https://www.facebook.com/harrypottermovie/videos/10155915942894313/,2017-11-27 13:00:00,7978,99,231,6963,950,51,11,1,1,1
156794164312_10155904483994313,It's hard to resist a tasty meal in the Great Hall.,Harry Potter,video,https://www.facebook.com/harrypottermovie/videos/10155904483994313/,2017-11-23 12:00:02,16719,480,557,14113,1322,25,1248,6,1,4
156794164312_10155898510489313,A mighty task to take on.,,photo,https://www.facebook.com/harrypottermovie/photos/a.422515109312.180796.156794164312/10155898510269313/?type=3,2017-11-21 09:00:00,9799,91,319,8802,873,86,17,16,2,3
156794164312_10155896458819313,"Bonnie Wright will be joining James Phelps, Oliver Phelps, and Stanislav Yanevski at A Celebration of Harry Potter 2018. #HPCelebration",,photo,https://www.facebook.com/harrypottermovie/photos/a.422515109312.180796.156794164312/10155896457774313/?type=3,2017-11-20 11:54:30,14967,157,216,13267,1512,163,13,2,6,4
156794164312_10155888935244313,"In hard times, seek comfort in the kindness of friends.",,video,https://www.facebook.com/harrypottermovie/videos/10155888935244313/,2017-11-19 15:00:00,16624,269,854,13435,3079,60,14,30,3,3
156794164312_10155887916484313,Harry's glasses will never need tape again!,,video,https://www.facebook.com/harrypottermovie/videos/10155887916484313/,2017-11-18 13:00:02,5763,84,191,5102,549,67,37,1,1,6
156794164312_10155888213849313,Hogwarts in the Snow has arrived at Warner Bros. Studio Tour London.,,photo,https://www.facebook.com/harrypottermovie/photos/a.422515109312.180796.156794164312/10155888212989313/?type=3,2017-11-17 14:19:31,24966,918,619,20534,3520,866,18,19,1,8
156794164312_10155887418064313,Watch your step on the landing.,Portkey Landing,video,https://www.facebook.com/harrypottermovie/videos/10155887418064313/,2017-11-17 10:00:01,14051,211,378,12040,1350,49,595,7,3,7
156794164312_10155884348394313,,Pottermore,link,http://pottermo.re/3QVcLK,2017-11-16 09:35:54,63793,7043,3,48113,12153,3430,63,14,15,5
156794164312_1616556578402828,"The heroes. The villains. The magic. In one year, return to the Wizarding World with Fantastic Beasts: The Crimes of Grindelwald. #MagicInProgress #FantasticBeasts",Fantastic Beasts: The Crimes of Grindelwald - First Look,video,https://www.facebook.com/harrypottermovie/videos/1616556578402828/,2017-11-16 09:02:03,126818,18904,28539,92795,27776,6097,103,14,25,8
