status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
50245567013_10155109189387014,"🙌 Put your hands up for the McPick 2 for $5 lineup!! 🙌 S/O to the new recruit: Sausage, Egg & Cheese #McGriddles!!",Put your hands up for the McPick 2 for $5 lineup!,video,https://www.facebook.com/McDonaldsUS/videos/10155109189387014/,2017-11-29 14:15:46,7059,1336,971,6289,555,116,49,13,35,2
50245567013_10155099036107014,"T-minus 3 days remain for you to enter to win a trip to Chicago and the last McRib of the season!
 
Create a :25-:30 video, & post to Instagram or Twitter using #LastMcRibContest & tag @McDonalds. No purch. nec. Ends 11:59:59 p.m. ET on 11/27/17. 50 US/DC 13+. Rules at http://PlayatMcD.com/lastmcrib.",The Last McRib Contest!,video,https://www.facebook.com/McDonaldsUS/videos/10155099036107014/,2017-11-25 12:19:08,311,319,61,245,24,0,6,3,30,3
50245567013_10155096712097014,It's okay. That's most people's reactions to getting money upfront for college. We're used to it. Find out more for your future at McDonalds.com/Careers,Good Vibes Cru Reactions,video,https://www.facebook.com/McDonaldsUS/videos/10155096712097014/,2017-11-24 12:00:48,327,67,15,271,25,3,20,0,3,5
50245567013_10155092104552014,"Me: I’m going to start decorating right now.
Also me: Not before this #McCafe Peppermint Mocha.",Timeline Photos,photo,https://www.facebook.com/McDonaldsUS/photos/a.10150319191897014.332821.50245567013/10155092104552014/?type=3,2017-11-22 14:00:01,562,135,64,480,59,4,12,0,1,6
50245567013_10155091862172014,There's just two words we want to share with you this #Thanksgiving - thank you!,Thanksgiving Thank You,video,https://www.facebook.com/McDonaldsUS/videos/10155091862172014/,2017-11-22 12:01:19,1436,403,221,1219,159,8,36,3,7,4
50245567013_10155088798812014,"Didn't get a chance to make a donation during our annual RMHC fundraiser? You can still donate your time. Ronald McDonald House Charities (RMHC) is always looking for volunteers to lend a helping hand, or two. Tag someone to be your volunteer buddy! 
 
 Volunteer with a local RMHC Chapter
 Find one near you.",Chapter Search,link,https://www.rmhc.org/chapter-search,2017-11-21 12:00:00,514,58,65,470,36,0,4,0,0,4
50245567013_10155086485352014,Just because you love Instagram doesn’t mean you live for likes. Jessie works to learn skills that help her be a leader in the restaurant and at future jobs. Find out what you can learn here at McDonalds.com/Careers,Cru Spotlight - Jessie,video,https://www.facebook.com/McDonaldsUS/videos/10155086485352014/,2017-11-20 16:01:17,240,49,23,204,23,0,9,0,1,3
50245567013_10155078232882014,Families are better when they’re together. That’s why we support @RMHC and all that they do for families. Donate at your local McDonald’s today!,RMHC - Being There,video,https://www.facebook.com/McDonaldsUS/videos/10155078232882014/,2017-11-17 13:30:35,174,57,28,137,32,1,1,0,1,2
50245567013_10155075957417014,Just because you're soft spoken doesn't mean you don't have much to say. Gabby comes out of her shell to learn skills that help her be a leader in any crew. Learn more about the skills we each at McDonalds.com/Careers,Good Vibes Cru - Gabby,video,https://www.facebook.com/McDonaldsUS/videos/10155075957417014/,2017-11-16 16:00:56,347,87,13,305,21,1,17,1,1,1
50245567013_10155075473967014,"Before you start planning the holiday party, cheers to a sweet treat. The #McCafe Peppermint Mocha is back!",The McCafé Peppermint Mocha is back!,video,https://www.facebook.com/McDonaldsUS/videos/10155075473967014/,2017-11-16 12:30:34,1634,210,196,1439,149,33,6,2,4,1
50245567013_10155075172002014,"The buttered-biscuit, fluffy eggs, satisfying goodness of McDonald’s breakfast are what morning dreams are made of.",McDonald’s Breakfast are what dreams are made of,video,https://www.facebook.com/McDonaldsUS/videos/10155075172002014/,2017-11-16 10:30:43,3810,467,318,3361,342,53,23,14,14,3
50245567013_10155073249792014,"A $1, $3 or $5 donation may not seem like much, but to an RMHC family, it means the world. Stop in at your local McDonald's today and help us help Ronald McDonald House Charities (RMHC) keep more families with sick kids together when it matters most.",Graham's Story,video,https://www.facebook.com/McDonaldsUS/videos/10155073249792014/,2017-11-15 16:01:03,200,28,42,164,31,4,0,0,0,1
