status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
19013582168_10155254486622169,"Vann Newkirk, correspondent for The Atlantic, talks about monuments and identity politics on The Open Mind.",Monuments and Identity Politics | The Open Mind | PBS,link,http://bit.ly/2AT46F4,2017-12-03 16:00:00,11,1,3,10,1,0,0,0,0,0
19013582168_10155254366622169,Catch up on episodes of A Chef's Life from PBS Food.,A Chef's Life | PBS,link,http://bit.ly/2zWLqEl,2017-12-03 15:00:00,58,3,8,52,6,0,0,0,0,0
19013582168_10155254249667169,"Research on the consequences of age stereotypes shows influences on self-concept, performance, health, and even longevity. (From Next Avenue)",How Would We Live If We Forgot We Were Over 50,link,http://bit.ly/2APoOFZ,2017-12-03 14:00:00,644,48,235,585,46,12,1,0,0,0
19013582168_1547893241961724,"Though some gymnasts start training at a young age, beginning acrobatics classes are becoming increasingly popular among adults. (From Rewire)",Skip the Gym and Try Taking an Acrobatics Class,video,https://www.facebook.com/pbs/videos/1547893241961724/,2017-12-03 13:00:00,359,28,93,303,45,10,1,0,0,0
19013582168_10155253981667169,Crack the secret biological code that underlies nature’s battleground. (From NOVA l PBS),Extreme Animal Weapons | NOVA | PBS,link,http://bit.ly/2zWmRqX,2017-12-03 12:00:01,62,4,1,51,7,4,0,0,0,0
19013582168_10155253862032169,Defenders of net neutrality argue that an open internet is essential for innovation. (From KQED News),What Is Net Neutrality and What Will the Internet Look Like Without It?,link,http://bit.ly/2ARv7ZD,2017-12-03 11:00:00,628,35,410,475,8,6,1,40,98,0
19013582168_1403662623064731,Step beneath a glacier in the blue glow of the ice. Learn where this color comes from in the latest episode of It's Okay To Be Smart from PBS Digital Studios. youtu.be/P7LKm9jtm8I,360˚ Inside an ICE CAVE!,video,https://www.facebook.com/pbs/videos/1403662623064731/,2017-12-03 10:00:00,726,20,156,567,64,92,1,1,1,0
19013582168_10154987978096641,What does a shrinking middle class mean for the U.S. economy? (From FRONTLINE),Why the Middle Class Matters,video,https://www.facebook.com/pbs/videos/10154987978096641/,2017-12-03 09:00:09,5553,471,4534,4235,45,333,10,837,93,0
19013582168_10155253572077169,"The chilling sound of a nuclear warning siren echoed in Hawaii on Friday, renewing a monthly exercise that has not been in place since the end of the Cold War. (From PBS NewsHour)",Hawaii sounds first nuclear warning siren since Cold War,link,http://bit.ly/2APQdrf,2017-12-03 08:18:00,5927,307,2152,716,10,1338,9,3612,242,0
19013582168_10155252043362169,"Imagine records like poetry recordings — just the poet’s words, pauses, sighs, and the rustling of the crowd. (From PBS NewsHour)",This record label is bringing live poetry back to vinyl,link,http://bit.ly/2APKsd5,2017-12-02 16:00:01,375,17,107,311,47,16,1,0,0,0
19013582168_10155251924542169,"In 2017, the average wedding-goer spent more than $1,000 per wedding they attended, according to a study by LendEDU. (From Rewire)",Guess How Much it Costs to be a Wedding Guest in 2017,link,http://bit.ly/2zWsfdG,2017-12-02 15:00:01,889,316,197,249,4,476,102,32,26,0
19013582168_10155251870132169,"75 years ago today, an abandoned squash court became home to the world’s first manmade nuclear reactor. (From NOVA l PBS)",First Nuclear Chain Reaction Changed the World 75 Years Ago Today — NOVA Next | PBS,link,http://www.pbs.org/wgbh/nova/next/military/first-nuclear-chain-reaction-changed-the-world-75-years-ago-today/,2017-12-02 14:33:39,603,17,224,441,9,102,0,46,5,0
19013582168_10155251798842169,"Learn the differences between whiskey, scotch, and bourbon in episode 6 of A Chef's Life. (From PBS Food)",Bourbon Country | A Chef's Life | PBS,link,http://bit.ly/2APISrF,2017-12-02 14:00:01,548,50,149,506,32,6,2,1,1,0
19013582168_10155251716282169,"The Senate passed a sweeping, nearly $1.5 trillion tax package early this morning. PBS NewsHour political director Lisa Desjardins answers your questions.",PBS NewsHour,video,https://www.facebook.com/newshour/videos/10156012548123675/,2017-12-02 13:33:07,760,130,0,128,12,17,5,91,507,0
19013582168_10155251613967169,"When the first birds of paradise arrived on September 8, 1522, they looked nothing like their living counterparts. (From Nature | PBS)",NatureNOW: How Birds Bedazzled Early European Explorers | Blog | Nature | PBS,link,http://bit.ly/2zWqUnm,2017-12-02 13:00:01,214,7,44,184,17,11,1,1,0,0
19013582168_1749359378470171,"The Ghost Ship warehouse fire on Dec. 2, 2016 in Oakland claimed the lives of 36 people. This is KQED Arts’ tribute to their lives and to the power of their creativity. bit.ly/GhostShipMemorial",Honoring Those Lost in the Oakland Warehouse Fire,video,https://www.facebook.com/pbs/videos/1749359378470171/,2017-12-02 12:00:00,1202,27,171,421,119,10,2,648,2,0
19013582168_1634491719941054,"Listen to the latest episode of the American Masters podcast, featuring the incomparable Willie Nelson. to.pbs.org/2AmJh1x",The Song Writer: Willie Nelson,video,https://www.facebook.com/pbs/videos/1634491719941054/,2017-12-02 11:00:00,363,15,61,316,43,2,1,0,1,0
19013582168_10155251273257169,Federal regulators moved to allow bigger jumps to stamp prices beyond the rate of inflation. (From PBS NewsHour),Federal regulators just cleared the way for your stamps to get much more expensive,link,http://bit.ly/2AOnBhQ,2017-12-02 10:00:02,1740,281,759,269,5,307,11,136,1012,0
19013582168_10155251154957169,Share your holiday cookies with PBS Food!,The Great Holiday Cookie Exchange | PBS Food,link,http://bit.ly/2zWwjLb,2017-12-02 09:00:01,180,4,53,167,9,3,1,0,0,0
19013582168_10155249699892169,More than 200 U.S. cities are competing to land Amazon's second corporate headquarters. (From PBS NewsHour),Here's what cities are offering Amazon to host its new headquarters,link,http://bit.ly/2zTwOFH,2017-12-01 16:36:00,149,47,44,107,2,16,3,4,17,0
19013582168_10155249580277169,"On Washington Week, Robert Costa will discuss Republican tax negotiations, repercussions of the legislation for Americans, and Michael Flynn’s guilty plea.","This Week on Washington Week: Michael Flynn lies to the FBI, tax bill dominates Capitol Hill",link,http://bit.ly/2AOaQE7,2017-12-01 15:30:00,137,18,23,110,6,5,4,5,7,0
19013582168_10155249405172169,Lin-Manuel Miranda shares why he has been a lifelong fan of PBS. (From Value PBS) #ILovePBS,VALUE PBS | Lin-Manuel Miranda | PBS,video,https://www.facebook.com/pbs/videos/10155249405172169/,2017-12-01 14:30:00,1233,40,110,1025,203,1,0,0,4,0
19013582168_10155249276052169,How well do you know the iconic food scenes in holiday movies? (From PBS Food),Holiday Movie Quiz | PBS Food,link,http://bit.ly/2zVSAIR,2017-12-01 13:25:21,104,4,23,98,4,0,2,0,0,0
19013582168_10155933779149122,See what's coming soon from American Experience | PBS!,Coming Winter 2018,video,https://www.facebook.com/pbs/videos/10155933779149122/,2017-12-01 12:00:00,317,17,68,282,19,15,1,0,0,0
19013582168_10155194179777781,Have you seen the Antiques Roadshow l PBS appraisal of The Avengers comics 1 and 2 from 1963?,1963 “The Avengers” Comics 1 & 2,video,https://www.facebook.com/pbs/videos/10155194179777781/,2017-12-01 11:00:00,3398,376,1382,2781,159,432,22,2,2,0
19013582168_10155248900017169,"Michael Flynn, President Trump's former national security advisor, has been charged with making false statements to the FBI by Special Counsel Robert Mueller. (From PBS NewsHour)",Flynn scheduled to plead guilty to lying to FBI,link,http://bit.ly/2ANB1en,2017-12-01 10:45:38,2367,309,315,1790,234,76,223,15,29,0
19013582168_10155248834052169,Don't miss the rebroadcast of #HamilDocPBS from Great Performances l PBS! to.pbs.org/2j4PwQo,Timeline Photos,photo,https://www.facebook.com/pbs/photos/a.161853477168.112211.19013582168/10155248834052169/?type=3,2017-12-01 10:00:02,4491,230,1079,3895,516,74,2,0,4,0
19013582168_10155248733597169,A Pakistani court released the alleged mastermind of the 2008 Mumbai attacks from house arrest. (From PBS NewsHour),A militant leader is set free in Pakistan. Here's why it matters to the U.S.,link,http://bit.ly/2ALGouz,2017-12-01 08:55:00,156,24,23,34,2,28,2,8,82,0
19013582168_10155248644032169,"As their use increases, the harmful side effects of chemical fire retardants are coming under increasing scrutiny. (From KQED Science)","Fire Retardant Use Explodes as Worries About Water, Wildlife Grow",link,http://bit.ly/2zUptWn,2017-12-01 08:00:01,296,22,82,144,1,64,0,67,20,0
19013582168_10155247260712169,A Supreme Court case centers around a piece of technology that many have in hand's reach. (From PBS NewsHour),Can police use cell phone location data without a warrant?,link,http://bit.ly/2AKrXGP,2017-11-30 17:33:00,296,99,114,160,3,52,2,3,76,0
19013582168_10155246974252169,"We’ll Meet Again, a new series executive produced and reported by Ann Curry, brings together people whose lives intersected at pivotal moments in history. Premieres Tues, Jan 23. #MeetAgainPBS",WE'LL MEET AGAIN | Official Trailer | PBS,video,https://www.facebook.com/pbs/videos/10155246974252169/,2017-11-30 15:30:01,40231,2230,9907,33273,6423,486,19,22,5,3
19013582168_10155246720067169,"On this day in 1924, Shirley Chisholm was born. Chisholm was the first black woman elected to Congress and to run for president. (From POV)",Chisholm '72 | POV | PBS,link,http://bit.ly/2AKQR9B,2017-11-30 13:00:42,2292,38,384,1964,298,29,1,0,1,-1
19013582168_711309255734684,Is it true that hand sanitizers kill 99.99% of all germs? (From Reactions and PBS Digital Studios),How Do Hand Sanitizers Work?,video,https://www.facebook.com/pbs/videos/711309255734684/,2017-11-30 12:00:00,966,58,451,895,28,37,4,2,0,0
19013582168_10155246532512169,PBS NewsHour is live with an update about the GOP tax bill.,PBS NewsHour,video,https://www.facebook.com/newshour/videos/10156006602653675/,2017-11-30 10:59:56,711,138,0,471,36,9,27,35,133,0
19013582168_10155246442687169,These no-bake chocolate cornflake bars come together with a handful of ingredients. (From PBS Food),Kid Friendly Chocolate Cornflake Bars | Fresh Tastes Blog | PBS Food,link,http://bit.ly/2AKDohG,2017-11-30 10:00:01,148,6,60,137,6,4,0,0,0,1
19013582168_1745813458824763,"After his house burned to the ground, Brian Fies got to work drawing and reporting what he and his wife saw the night of the North Bay fires. (From KQED Arts)",Watch a Santa Rosa Cartoonist's 'Fire Story' Come to Life,video,https://www.facebook.com/pbs/videos/1745813458824763/,2017-11-30 09:00:00,4358,144,1688,1886,169,358,2,1940,2,1
