status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10092511675_10155203672346676,Shut up and Rihanna Drive! The Government of Barbados has officially renamed Westbury New Road to #RihannaDrive.,Photos from Rihanna's post,photo,https://www.facebook.com/rihanna/photos/a.207477806675.138795.10092511675/10155203671296676/?type=3,2017-12-01 13:09:00,68237,991,1673,55280,11043,1613,268,6,16,11
10092511675_10155201077886676,FentyBeauty #STUNNA queens.  Are your lips #UNCENSORED? http://ri-hanna.io/fentybeauty,,video,https://www.facebook.com/rihanna/videos/10155201077886676/,2017-11-30 11:29:24,20854,293,333,17848,2812,165,18,1,2,8
10092511675_10155191184781676,Everyday we stuntin... You can get FentyBeauty #STUNNA now at http://ri-hanna.io/fentybeauty,Timeline Photos,photo,https://www.facebook.com/rihanna/photos/a.207477806675.138795.10092511675/10155191184781676/?type=3,2017-11-26 15:00:09,33471,2222,482,27647,3772,268,1653,39,51,41
10092511675_10155188879276676,#UNCENSORED and up close. Do you have FentyBeauty #STUNNA lips?,Timeline Photos,photo,https://www.facebook.com/rihanna/photos/a.207477806675.138795.10092511675/10155188879276676/?type=3,2017-11-25 15:00:09,17410,348,170,15241,1984,138,11,3,2,31
10092511675_10155186520056676,Got your #STUNNA? It's out now at FentyBeauty - http://ri-hanna.io/fentybeauty,Timeline Photos,photo,https://www.facebook.com/rihanna/photos/a.207477806675.138795.10092511675/10155186520056676/?type=3,2017-11-24 15:00:15,119520,1464,1915,99018,19343,1008,62,16,10,63
10092511675_10155183107606676,"The wait is over... #STUNNA is out now! Get it at FentyBeauty (http://ri-hanna.io/fentybeauty), SEPHORA, Harvey Nichols and #SephoraInJCP",,video,https://www.facebook.com/rihanna/videos/10155183107606676/,2017-11-23 09:01:27,19275,995,463,16076,2908,247,8,4,1,31
10092511675_10155181274391676,"#STUNNA Lip Paint drops tonight at Midnight ET at FentyBeauty (http://ri-hanna.io/fentybeauty) SEPHORA, Harvey Nichols and #SephoraInJCP",,video,https://www.facebook.com/rihanna/videos/10155181274391676/,2017-11-22 15:00:46,23986,812,562,20332,3028,115,458,10,20,23
10092511675_10155178482271676,"Winter 2017 issue of Dazed and Confused Magazine. The 4 covers will be available on stands November 23rd! 

Pre-order it here: https://ri-hanna.io/dazed2017
Read the story here: https://ri-hanna.io/dazed",Photos from Rihanna's post,photo,https://www.facebook.com/rihanna/photos/a.207477806675.138795.10092511675/10155178469631676/?type=3,2017-11-21 11:10:46,28689,392,600,23894,4524,184,23,3,2,59
10092511675_10155176284896676,Guest edited the December issue of Vogue Paris!  3 covers. 3 photographers. 3 editorials. On stands December 1st!,Photos from Rihanna's post,photo,https://www.facebook.com/rihanna/photos/a.207477806675.138795.10092511675/10155176276436676/?type=3,2017-11-20 13:11:57,68569,739,1469,56396,11525,507,56,5,7,73
10092511675_10155169047591676,Shout it out! #STUNNA lip paint. November 23rd. Your lips will thank you. FentyBeauty.,Timeline Photos,photo,https://www.facebook.com/rihanna/photos/a.207477806675.138795.10092511675/10155169047591676/?type=3,2017-11-17 18:36:04,17811,320,172,15778,1638,156,49,5,6,179
