status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
22092443056_10155933522088057,Share the goodness that's in your heart. Who makes your world a little brighter? Let us know the big and little ways they're giving good.,,photo,https://www.facebook.com/Starbucks/photos/a.152298483056.110092.22092443056/10155933521608057/?type=3,2017-11-30 13:03:00,2962,119,122,2613,329,9,3,2,3,3
22092443056_10155933757553057,"We're partnering with Spotify to donate to artists' charities and their commitment to youth empowerment, education, and veterans. Show your support with these limited-edition Starbucks Cards. http://sbux.co/goodgivesback",Holiday Artist Cards,video,https://www.facebook.com/Starbucks/videos/10155933757553057/,2017-11-30 11:03:00,10190,369,611,9375,667,101,19,11,17,0
22092443056_10155933450268057,"The Upstanders Challenge on Indi.com gave nonprofits a chance to win a $25,000 grant from The Starbucks Foundation.

We're proud to announce all the winning charities! Thanks to all those who submitted & for the extraordinary things you do in your communities.","Starbucks Foundation awards more than $700,000 to charities",link,https://news.starbucks.com/news/starbucks-foundation-awards-money-to-charities?utm_source=facebook&utm_medium=social&utm_campaign=holiday,2017-11-30 09:03:00,1828,40,212,1583,216,26,2,1,0,0
22092443056_10155930844923057,Get a cup. Give your heart.,Starbucks Red Holiday Cup,video,https://www.facebook.com/Starbucks/videos/10155930844923057/,2017-11-28 09:01:00,103149,4223,6536,93412,8934,456,180,41,116,10
22092443056_10155917883183057,"Tidings of comfort & joy, caramelized.
🌟Toasted White Chocolate Mocha is here!✨",Toasted White Chocolate Mocha,video,https://www.facebook.com/Starbucks/videos/10155917883183057/,2017-11-27 09:03:00,75749,5399,5217,67455,6622,1303,128,41,196,4
22092443056_10155899468893057,"The Starbucks Run:
1. Pick up 4 grande (or larger) handcrafted beverages after 2 PM.
2. Receive a $5 Starbucks Card.
3. Enjoy ☕️ with 3 appreciative friends.
US only, in participating stores.",The Starbucks Run,video,https://www.facebook.com/Starbucks/videos/10155899468893057/,2017-11-21 07:03:00,56622,8450,9370,51520,3499,1241,184,47,124,7
22092443056_10155899450523057,"'Tis the season...and the spice. 
Welcome back, Holiday Spice Flat White!",,photo,https://www.facebook.com/Starbucks/photos/a.152298483056.110092.22092443056/10155899449618057/?type=3,2017-11-20 09:03:00,33663,1562,1345,30116,3256,226,37,8,16,4
22092443056_10155899382513057,"A few more gift cards, and for good reason,
To share a little more ❤️ this holiday season.",Starbucks Gift Cards,video,https://www.facebook.com/Starbucks/videos/10155899382513057/,2017-11-19 09:03:00,36629,1304,1995,34342,1899,93,206,28,43,18
22092443056_10155893213788057,"A warm, chocolate-y espresso hug with a candied cranberry kiss. Introducing the Toasted White Chocolate Mocha.",The new Toasted White Chocolate Mocha,video,https://www.facebook.com/Starbucks/videos/10155893213788057/,2017-11-16 09:03:22,72045,7942,7285,60417,8908,2459,135,22,62,42
22092443056_10155878453143057,"Thanksgiving, all bundled up. 
Turkey Stuffing Panini is back! 🦃",Holiday Turkey & Stuffing Panini,video,https://www.facebook.com/Starbucks/videos/10155878453143057/,2017-11-13 10:00:00,16404,2157,953,13910,1790,392,129,12,42,129
