status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
318096278310841_1471758869611237,"Excited to share all these ID’s with you guys ⚔️⚔️⚔️ Echostage DC was legendary last night 
#noredemptiontour

🎥 Multyde",,video,https://www.facebook.com/iamTchami/videos/1471758869611237/,2017-12-03 16:13:08,189,15,9,157,30,2,0,0,0,0
318096278310841_1470846856369105,"This WORLD TO ME Remix is pure insanity ⚔️⚔️⚔️ 

#noredemptiontour Malaa

🎥 Multyde",,video,https://www.facebook.com/iamTchami/videos/1470846856369105/,2017-12-02 19:47:52,1881,148,89,1525,326,28,1,0,1,0
318096278310841_1470607493059708,"We all witnessed something unique last night in Brooklyn NY. Glad you were a part of it 🙏🏼🙏🏼🙏🏼 #noredemptiontour 

📷 Merc Photography",Photos from Tchami's post,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1470606863059771/?type=3,2017-12-02 12:58:41,367,3,7,306,55,4,0,2,0,0
318096278310841_1467268930060231,"Me and my boy Malaa have so many good things to say about Canada 🇨🇦 but this video will speak louder than words. 

Shout out to everyone who came on the « NO REDEMPTION TOUR »

🎥 Multyde",,video,https://www.facebook.com/iamTchami/videos/1467268930060231/,2017-11-29 12:57:55,2608,295,219,2171,400,35,2,0,0,0
318096278310841_1466314140155710,"The NO REDEMPTION merch is finally here 🙏🏼🙏🏼🙏🏼 
which one is your favorite?",Photos from Tchami's post,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1466469530140171/?type=3,2017-11-28 13:30:30,292,13,6,236,50,5,1,0,0,0
318096278310841_1464102980376826,"Last night has been phenomenal for us 🙌🏼🙌🏼🙌🏼 MERCI MONTREAL #noredemptiontour

📷 MIKO",Photos from Tchami's post,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1464101630376961/?type=3,2017-11-26 14:06:24,561,5,9,475,78,7,0,1,0,0
318096278310841_1461070147346776,"This B2B with Malaa was a spiritual thing. Thank You San José 🙏🏼

📷 Merc Photography",Photos from Tchami's post,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1461068934013564/?type=3,2017-11-23 13:17:53,516,10,8,424,83,8,0,0,0,1
318096278310841_1457308821056242,"This is the second vision of the No Redemption stage we bring to all the venues that can't have our full production. Thank You Atlanta last night was amazing 🙌🏼🙌🏼🙌🏼 

📸 MIKO",Photos from Tchami's post,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1457308117722979/?type=3,2017-11-19 14:44:58,664,30,14,553,98,12,0,0,0,1
318096278310841_1456452754475182,"SUMMER 99 in Philly last night 🔥🔥🔥

#noredemptiontour Malaa
Video : chivteam",,video,https://www.facebook.com/iamTchami/videos/1456452754475182/,2017-11-18 17:20:25,1004,77,40,797,194,12,0,0,0,1
318096278310841_1456309861156138,"Despite the cold Philly was on fire last night 🔥🔥🔥

#NoRedemptionTour Malaa",Photos from Tchami's post,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1456309524489505/?type=3,2017-11-18 13:38:20,555,6,6,465,81,8,0,0,0,1
318096278310841_1455257654594692,"ADIEU #noredemptiontour in LA 

w/ Malaa

( 📹 chivteam )",,video,https://www.facebook.com/iamTchami/videos/1455257654594692/,2017-11-17 12:32:22,2945,270,225,2398,514,29,0,0,0,4
318096278310841_1454423491344775,NO REDEMPTION,,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1454423471344777/?type=3,2017-11-16 16:47:18,1136,32,18,975,153,6,0,1,0,1
318096278310841_1453412504779207,"Your dreams have now been fulfilled. Come and join us on the NO REDEMPTION TOUR. This show is unique. 

cc Malaa",,video,https://www.facebook.com/iamTchami/videos/1453412504779207/,2017-11-15 16:01:31,932,109,66,737,174,18,0,2,0,1
318096278310841_1449734205147037,NO REDEMPTION TOUR (LOS ANGELES),Photos from Tchami's post,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1449733365147121/?type=3,2017-11-11 17:36:17,1245,56,40,1020,193,31,1,0,0,0
318096278310841_1449566325163825,"‪Thank You Las Vegas for this incredible night 
#NoRedemptionTour 

📷 MIKO",,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1449565041830620/?type=3,2017-11-11 13:42:30,1213,56,24,1013,161,37,2,0,0,0
318096278310841_1447899285330529,PMF fan art 🤜🏼🤛🏼,,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1447899108663880/?type=3,2017-11-09 21:26:37,1056,20,19,862,171,21,2,0,0,0
318096278310841_1447507842036340,"Check out the new single ""The Sermon"" and be entered to win tickets and a M&G to the No Redemption tour!",Win 2 tickets to the Tchami x Malaa: No Redemption Tour + Meet & Greet,link,http://smarturl.it/NoRedemptionTS,2017-11-09 11:58:26,372,21,7,331,39,2,0,0,0,0
318096278310841_1447480242039100,NO REDEMPTION TOUR with Malaa starts this week end and it’s going to be a rare one.,,video,https://www.facebook.com/iamTchami/videos/1447480242039100/,2017-11-09 11:18:40,555,27,26,462,87,6,0,0,0,0
318096278310841_1446587585461699,"My remix for MK's ""17""",,video,https://www.facebook.com/iamTchami/videos/1446587585461699/,2017-11-08 11:38:47,2172,249,145,1844,291,32,1,2,2,0
318096278310841_1444898908963900,"‪NO REDEMPTION tour starts this week ⚠️ 
You’ve never seen anything like this

Cc Malaa",,video,https://www.facebook.com/iamTchami/videos/1444898908963900/,2017-11-06 14:12:28,1271,81,93,1033,217,21,0,0,0,0
318096278310841_1444103522376772,Had a blast for Halloween in Tampa 🙌🏼🙌🏼🙌🏼,Photos from Tchami's post,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1444102842376840/?type=3,2017-11-05 16:44:41,538,5,9,458,74,6,0,0,0,0
318096278310841_1442164309237360,"TCHAMI x Malaa - THE SERMON ⚠️⚠️⚠️ 
out now everywhere 

full audio ⬇️⬇️⬇️",,video,https://www.facebook.com/iamTchami/videos/1442164309237360/,2017-11-03 14:30:37,3206,407,260,2615,534,53,2,2,0,0
318096278310841_1441238709329920,"There is no doubt about it the NO REDEMPTION TOUR with Malaa will be epic. 
Grab your tickets now 🙏🏼
http://www.confessionlabel.com/noredemption",,video,https://www.facebook.com/iamTchami/videos/1441238709329920/,2017-11-02 14:53:09,517,23,25,432,80,5,0,0,0,0
318096278310841_1440342426086215,"NEW MISIC THIS FRIDAY « THE SERMON »

#noredemption",,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1440341616086296/?type=3,2017-11-01 14:36:49,1304,106,49,1045,215,44,0,0,0,0
318096278310841_1439347116185746,"CAN’T BUY RESPECT

No Redemption Tour : http://smarturl.it/NoRedemptionTour

📷 Merc Photography",,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1439345732852551/?type=3,2017-10-31 12:48:28,803,11,10,674,121,6,1,0,0,1
318096278310841_1438471116273346,"‪Manchester 🇬🇧! I’ll be taking over The Warehouse Project with @Malaamusic and @Mercer_Music on December 15th 🙏🏼🙏🏼🙏🏼
‬
tickets available: http://po.st/TchamiWHP",,photo,https://www.facebook.com/iamTchami/photos/a.374001889386946.1073741824.318096278310841/1438470492940075/?type=3,2017-10-30 13:11:51,1828,279,87,1544,245,32,3,3,0,1
318096278310841_1438409549612836,🙌🏼🙌🏼🙌🏼 PMF x HALLOWEEN fan art 🎃,,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1438407882946336/?type=3,2017-10-30 11:50:36,626,10,9,503,101,2,20,0,0,0
318096278310841_1437826066337851,"Thank You HOUSTON 🙌🏼🙌🏼🙌🏼 Something Wicked Festival was no joke !

📷 Merc Photography",,photo,https://www.facebook.com/iamTchami/photos/a.412087825578352.1073741827.318096278310841/1437825376337920/?type=3,2017-10-29 20:51:15,452,7,4,373,74,1,4,0,0,0
