status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
278029242253904_1639660459424102,"Here we go. 😎

Don’t miss DreamHack Winter 2017: Dota 2 streaming LIVE on Twitter starting this Saturday, December 2nd.",DreamHack Streaming LIVE on Twitter,video,https://www.facebook.com/TwitterInc/videos/1639660459424102/,2017-11-30 20:36:06,208,30,7,183,18,5,0,0,1,1
278029242253904_1637229239667224,"Tonight’s the night! 🎻

Don’t miss Lindsey Stirling perform LIVE in concert, streaming exclusively on Twitter at 10pm ET/7pm PT.",Lindsey Stirling LIVE On Twitter,video,https://www.facebook.com/TwitterInc/videos/1637229239667224/,2017-11-28 15:00:00,251,45,15,226,18,1,4,0,0,2
278029242253904_1630994740290674,"Ever wonder what life is like on the road? 

Hear firsthand from Louis The Child and make sure to catch their special late night show streaming LIVE on Twitter, November 25th at 12:25am ET.",Louis The Child Streaming LIVE on Twitter,video,https://www.facebook.com/TwitterInc/videos/1630994740290674/,2017-11-22 15:00:01,195,40,8,172,15,5,0,1,0,2
278029242253904_1623147504408731,Don't miss the legendary St. Vincent LIVE from The Fillmore Detroit. Catch the whole show streaming on Twitter tonight at 9pm ET/6pm PT.,St. Vincent streaming LIVE on Twitter,video,https://www.facebook.com/TwitterInc/videos/1623147504408731/,2017-11-14 15:00:00,388,100,34,357,23,4,0,0,1,3
278029242253904_1622448581145290,"Intel Extreme Masters Oakland is going down LIVE on Twitter and it’s going to be 🔥

Don’t miss Counter-Strike: Global Offensive on Twitter starting this Saturday, November 18th at 3:15pm ET/12:15pm PT.",IEM Oakland Streaming LIVE on Twitter,video,https://www.facebook.com/TwitterInc/videos/1622448581145290/,2017-11-13 18:44:27,316,36,23,295,12,6,0,0,0,3
278029242253904_1619450811445067,"It all goes down tomorrow.

Join us as Macklemore performs LIVE from the Fillmore Philadelphia, streaming exclusively on Twitter at 9pm ET/6pm PT.",Macklemore streaming LIVE on Twitter,video,https://www.facebook.com/TwitterInc/videos/1619450811445067/,2017-11-12 15:00:01,309,27,25,277,23,6,0,1,1,1
278029242253904_1619434744780007,"🤘 for a cause.

Help support North Bay fire relief efforts.",Photos from Twitter's post,photo,https://www.facebook.com/TwitterInc/photos/a.278048198918675.67746.278029242253904/1619426444780837/?type=3,2017-11-10 17:38:27,461,40,17,418,28,5,1,2,0,7
278029242253904_1618463778210437,"Join us tonight for Band Together, a benefit concert for San Francisco North Bay fire relief.

Streaming LIVE on Twitter, featuring Metallica, G-Eazy, and Dead & Company.

Watch: live.twitter.com/bandtogetherbayarea",,photo,https://www.facebook.com/TwitterInc/photos/a.278048198918675.67746.278029242253904/1618461064877375/?type=3,2017-11-09 16:38:07,392,35,27,334,43,8,0,0,2,5
278029242253904_1615727648484050,Still vibing from the ComplexCon performances.,Photos from Twitter's post,photo,https://www.facebook.com/TwitterInc/photos/a.278048198918675.67746.278029242253904/1615726771817471/?type=3,2017-11-06 17:21:02,575,50,24,523,37,5,0,0,3,7
278029242253904_1609927142397434,Happy trick-or-Tweeting. 🎃,,photo,https://www.facebook.com/TwitterInc/photos/a.278048198918675.67746.278029242253904/1609923099064505/?type=3,2017-10-31 12:02:26,1463,139,94,1264,74,15,99,1,2,8
278029242253904_1605439126179569,"Are your lights flickering? 

Stranger Things is back. Join the conversation on Twitter.",,video,https://www.facebook.com/TwitterInc/videos/1605439126179569/,2017-10-27 08:00:01,675,109,68,601,50,11,3,0,3,7
278029242253904_1590606404329508,"Our kind of raw, untamed power. 

Check out fans’ Tweeting with the Force about The Last Jedi trailer on Twitter.",,video,https://www.facebook.com/TwitterInc/videos/1590606404329508/,2017-10-10 20:09:49,676,304,60,591,29,3,10,0,23,20
278029242253904_1588550697868412,"After teasing the behind-the-scenes action on Twitter, Lin-Manuel Miranda releases a benefit song for Puerto Rico.",,video,https://www.facebook.com/TwitterInc/videos/1588550697868412/,2017-10-08 12:40:18,539,109,65,491,27,0,0,0,9,12
278029242253904_1585863768137105,"The most swag. 👏

Catch all the red carpet action before Tuesday’s Hip Hop Awards, tonight at 6:30 pm ET/3:30 pm PT.",,video,https://www.facebook.com/TwitterInc/videos/1585863768137105/,2017-10-06 09:00:00,493,76,73,453,22,1,2,0,5,10
278029242253904_1579535118769970,"These 🇺🇸 hopefuls are looking for more than 🏅

They shared their dream Twitter follows at the Team USA Media Summit.",,video,https://www.facebook.com/TwitterInc/videos/1579535118769970/,2017-09-28 13:07:28,592,134,55,546,20,10,1,0,4,11
278029242253904_1578653442191471,Chrissy Teigen’s Twitter-Nut Banana Bread,,video,https://www.facebook.com/TwitterInc/videos/1578653442191471/,2017-09-27 11:04:42,445,65,44,410,12,1,11,1,3,7
278029242253904_1574286232628192,"Things are getting streamy with your favorite online creators. 🔥

The 2017 Streamy Awards are happening LIVE on Twitter, September 26th at 9:30pm ET/6:30pm PT.",,video,https://www.facebook.com/TwitterInc/videos/1574286232628192/,2017-09-22 12:00:00,459,97,42,426,12,7,0,0,4,10
278029242253904_1573508939372588,"“Peace cannot be kept by force; it can only be achieved by understanding.” 
- Albert Einstein #PeaceDay",,video,https://www.facebook.com/TwitterInc/videos/1573508939372588/,2017-09-21 17:12:06,823,128,208,714,81,5,6,0,5,12
278029242253904_1572427799480702,"Get your news fix every weekday morning. Watch BuzzFeed's new show AMtoDM LIVE on Twitter, at 10am ET / 7am PT. It’s all starting 9/25! 🙌",,video,https://www.facebook.com/TwitterInc/videos/1572427799480702/,2017-09-20 14:50:44,326,51,28,292,18,2,0,2,3,9
278029242253904_1567995099923972,"12 songs
12 Tweets
12 Lovatics

Demi Lovato's track list announcement on Twitter changes the game.",,video,https://www.facebook.com/TwitterInc/videos/1567995099923972/,2017-09-15 18:40:00,577,68,55,513,43,3,0,2,4,12
278029242253904_1565940580129424,"More than a game.

ESL One is streaming LIVE this weekend on Twitter. It all starts Friday, September 15th at 11am ET/8am PT.",,video,https://www.facebook.com/TwitterInc/videos/1565940580129424/,2017-09-13 14:00:00,389,52,40,366,18,2,1,0,2,0
278029242253904_1564665613590254,"Hand in Hand, a benefit for hurricane relief, is streaming LIVE on Twitter.

Watch: https://twitter.com/i/live/905193610244530176",,photo,https://www.facebook.com/TwitterInc/photos/a.278048198918675.67746.278029242253904/1564665106923638/?type=3,2017-09-12 08:00:00,533,66,64,495,27,7,0,1,3,0
278029242253904_1560872583969557,"One small Tweet from man, one giant message from mankind.
NASA sends a Tweet into space. 🚀 #MessageToVoyager",,video,https://www.facebook.com/TwitterInc/videos/1560872583969557/,2017-09-07 12:37:21,512,65,89,463,30,12,3,2,2,0
278029242253904_1554706494586166,"In each other’s company since Tweet number one.

Congratulations on 💯 million followers on Twitter, Justin Bieber.",,video,https://www.facebook.com/TwitterInc/videos/1554706494586166/,2017-08-31 19:26:48,929,103,91,775,110,27,7,1,9,0
278029242253904_1553790108011138,"We’re streaming LIVE from Malmö Arena for the 2017 DreamHack Masters.

Don’t miss a minute. Continue watching tomorrow, 8/31 at 10am ET/7am PT.",,video,https://www.facebook.com/TwitterInc/videos/1553790108011138/,2017-08-30 20:38:53,389,43,23,375,8,3,0,1,2,0
278029242253904_1550222055034610,"A night of 🌟, 👠, and 🥊.

Check out who rolled through with the biggest 👊 before #MayweathervMcGregor.",,video,https://www.facebook.com/TwitterInc/videos/1550222055034610/,2017-08-27 01:03:05,542,62,57,501,22,2,7,1,9,0
278029242253904_1548811485175667,"Let’s hit the right note.

The VMAs Red Carpet is streaming LIVE on Twitter, Sunday 8/27 at 6pm ET/3pm PT.",,video,https://www.facebook.com/TwitterInc/videos/1548811485175667/,2017-08-25 11:07:43,489,49,49,459,17,7,2,0,4,0
