status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1143803202301544_10155345298705787,The teen who would die if he fell asleep. (Via BBC Three),Living Differently | Our Teen Who Dies If He Falls Asleep,video,https://www.facebook.com/bbc/videos/10155345298705787/,2017-12-03 15:29:00,37,2,4,27,1,3,0,6,0,0
1143803202301544_2027885310559991,Jack from Titanic was what?!,Eight of the wildest and weirdest movie fan theories,link,http://bbc.in/2iJgCiR,2017-12-03 14:37:23,19,2,1,14,0,2,3,0,0,0
1143803202301544_1653795291374164,"Could you do Anthony Joshua's workout? 🏋️😅

(Via BBC Sport)",,video,https://www.facebook.com/bbc/videos/1653795291374164/,2017-12-03 11:50:00,58,15,11,54,2,2,0,0,0,0
1143803202301544_2027588207256368,Amazing.,BBC Three,video,https://www.facebook.com/bbcthree/videos/10155322444145787/,2017-12-03 10:15:46,974,45,0,599,328,42,2,3,0,0
1143803202301544_1381816265260871,"Five years ago, Andy's life was turned upside down when he had a stroke.

Since then, he’s applied for over 3,000 jobs… but has only been offered ONE interview.",Employable Me: Andy's Story,video,https://www.facebook.com/bbc/videos/1381816265260871/,2017-12-03 06:21:00,335,10,61,249,68,3,0,15,0,0
1143803202301544_1682776351742776,Robbie Williams had a strange way of keeping his relationship with Geri Halliwell secret... (Via BBC One),Robbie Williams once hid Geri in a holdall,video,https://www.facebook.com/bbc/videos/1682776351742776/,2017-12-03 04:34:00,523,18,49,306,13,6,196,0,2,0
1143803202301544_1563098860447365,"’My son is autistic, please don’t call the police.’ Lisa's sign is a plea to her neighbours to better understand her son's 'meltdowns.'

(Via BBC South News)","My son's autistic, please don't call the police.",video,https://www.facebook.com/bbc/videos/1563098860447365/,2017-12-02 13:19:00,197,13,31,143,25,2,0,26,0,1
1143803202301544_10155968692244626,"Foot-long, deep fried pigs in blankets. Is this an abomination, or the best thing ever? 😱

Via BBC Look North (Yorkshire)",Foot-long pigs in blankets,video,https://www.facebook.com/bbc/videos/10155968692244626/,2017-12-02 11:29:00,209,182,60,162,29,16,1,0,1,0
1143803202301544_2026135284068327,Brilliant news for speedy walkers!,There's now a shopping centre fast lane to help you avoid slow walkers,link,http://bbc.in/2j9abTq,2017-12-02 10:14:07,170,23,28,138,21,0,11,0,0,0
1143803202301544_1682349048452173,"Eminem gave Elton John a rather unusual wedding present. 🎁

(Via BBC One)",Eminem's wedding present to Elton John,video,https://www.facebook.com/bbc/videos/1682349048452173/,2017-12-02 08:57:41,569,20,52,384,28,0,156,0,0,1
1143803202301544_2025901024091753,"This woman couldn't have children, but she decided to do something amazing.",BBC Three,video,https://www.facebook.com/bbcthree/videos/10155345093735787/,2017-12-02 06:42:44,443,5,0,305,125,12,0,1,0,0
1143803202301544_1682140575139687,"It might be cold outside, but this will warm your heart. The countdown to Christmas has begun with BBC One!",BBC One Christmas 2017 | The Supporting Act,video,https://www.facebook.com/bbc/videos/1682140575139687/,2017-12-02 05:14:00,3312,132,1783,2290,989,20,6,5,1,1
1143803202301544_10155345214845787,"""I'm not gonna let my condition beat me."" 

Ryan has Tourette's and wants a chance to prove he's employable. (Via BBC Three)",Employable Me: Ryan,video,https://www.facebook.com/bbc/videos/10155345214845787/,2017-12-01 16:02:00,302,17,55,229,72,0,0,1,0,0
1143803202301544_10155345396805787,"""So how did you get it?""

Things Not To Say To Someone Who's HIV positive. #WorldAIDSDay (Via BBC Three)",Things Not To Say To Someone Who's HIV Positive,video,https://www.facebook.com/bbc/videos/10155345396805787/,2017-12-01 13:21:00,130,4,24,113,12,3,2,0,0,0
1143803202301544_2024896240858898,1. The Moomins,10 Things Finland Has Given Us,link,http://bbc.in/2ApbiWm,2017-12-01 12:30:00,331,37,85,272,55,1,2,0,0,1
1143803202301544_1776136625753219,"Run little crab, run! 🦀 🐍 🐙
#BluePlanet2",Blue Planet II: Crab vs eel vs octopus,video,https://www.facebook.com/bbc/videos/1776136625753219/,2017-12-01 09:48:00,852,44,277,656,65,122,5,4,0,0
1143803202301544_2023230857692103,People are encouraging women to claim their own space.,Is this the end of 'Manspreading'?,link,http://bbc.in/2AqlTCU,2017-12-01 08:35:00,116,56,17,83,0,0,18,1,12,2
1143803202301544_986524451499143,"Oh, Graham. 😂",Graham Norton's Funniest Moments,video,https://www.facebook.com/bbc/videos/986524451499143/,2017-12-01 07:33:00,1439,60,346,883,84,1,471,0,0,0
1143803202301544_2024440790904443,What would you do if you only had months to live?,BBC Three,video,https://www.facebook.com/bbcthree/videos/10155327390500787/,2017-12-01 05:39:40,488,28,1,212,83,4,0,188,0,1
1143803202301544_10155962498594626,We're all this dog today...,Dog sees snow for the first time,video,https://www.facebook.com/bbc/videos/10155962498594626/,2017-11-30 16:06:00,1359,193,219,917,233,3,205,0,0,1
1143803202301544_2023226141025908,Why would anyone donate their eggs to help a stranger have a child? A donor gives her reasons.,Why I chose to donate my eggs,link,http://bbc.in/2BllWwH,2017-11-30 13:32:00,54,6,2,50,2,1,0,0,0,1
1143803202301544_10155342564365787,The UK when the first snowflake falls... ❄️ (Via BBC Three),,video,https://www.facebook.com/bbc/videos/10155342564365787/,2017-11-30 12:33:00,430,36,171,217,3,3,207,0,0,0
1143803202301544_2023426644339191,"""If I would marry anyone, or anything, it would be a chair."" 😂",BBC Three,video,https://www.facebook.com/bbcthree/videos/10155340186255787/,2017-11-30 11:06:58,299,19,0,185,30,1,79,1,3,0
1143803202301544_10156053266696108,"When Scottie had a cycling accident, his main thought was to dance with Katie again ♥️

(Via BBC Radio 5 live)","""I thought maybe I can dance again""",video,https://www.facebook.com/bbc/videos/10156053266696108/,2017-11-30 09:43:56,142,3,13,115,24,3,0,0,0,0
1143803202301544_2023182634363592,"With minimum alcohol pricing given the go-ahead, will shoppers in southern Scotland nip into England instead? 🤔",Will Scots go on 'booze cruises' to England?,link,http://bbc.in/2kaWg2D,2017-11-30 07:49:02,37,9,3,28,2,2,5,0,0,0
1143803202301544_1652071644879862,Imagine having Andy Murray as your mentor!,,video,https://www.facebook.com/bbc/videos/1652071644879862/,2017-11-30 06:06:23,94,5,9,87,7,0,0,0,0,0
1143803202301544_1794162557269529,Do you struggle to wake up in winter? Maybe you need to channel your inner reindeer. (Via BBC World Service),Reindeer can control their body clocks,video,https://www.facebook.com/bbc/videos/1794162557269529/,2017-11-30 03:32:25,123,6,23,103,13,5,0,1,0,1
1143803202301544_1379812632127901,SCIENCE,How do you get an egg in a bottle? | QI,video,https://www.facebook.com/bbc/videos/1379812632127901/,2017-11-29 16:03:00,187,11,38,160,2,14,11,0,0,0
1143803202301544_10156050526606108,"Following instinct is Nadiya Hussain's parental advice. What would your parenting top tip be? 

(Via BBC Radio 5 live)",Nadiya Hussain on motherhood,video,https://www.facebook.com/bbc/videos/10156050526606108/,2017-11-29 14:01:00,413,29,43,358,54,0,1,0,0,0
1143803202301544_1793992690671162,"No baking, just a gloriously creamy, white chocolate cheesecake from Nigella Lawson. Yes please. 😋

(Via BBC Food)",Nigella's white chocolate cheesecake,video,https://www.facebook.com/bbc/videos/1793992690671162/,2017-11-29 11:59:32,332,84,82,285,39,7,1,0,0,0
1143803202301544_2021522307862958,Let's settle this. Is Die Hard a Christmas film or not? 🎄 🔥,People are claiming Die Hard is a Christmas film and it’s tearing the internet apart,link,http://bbc.in/2nfaHDR,2017-11-29 08:33:00,880,669,184,703,63,3,107,1,2,1
1143803202301544_1643374032390677,"Richard can speak in 25 different languages.

Meet the Hyperpolyglot…

(via BBC Cymru Fyw)",1 man. 25 languages.,video,https://www.facebook.com/bbc/videos/1643374032390677/,2017-11-29 08:21:00,11788,2062,5387,8912,1265,1567,34,4,5,1
1143803202301544_2021645364517319,Is it wrong to force young children to hug distant relatives?,Girl Scouts of the USA warn parents not to make their children hug relatives,link,http://bbc.in/2zzmiiy,2017-11-29 07:03:29,158,64,42,133,13,2,2,5,1,2
1143803202301544_10155432499863649,"Can a new satellite help clear up the growing amount of space junk in orbit around the Earth? 🚀

(Via BBC Science News)",Satellite designed to clear up space junk,video,https://www.facebook.com/bbc/videos/10155432499863649/,2017-11-29 06:02:47,133,16,32,118,2,13,0,0,0,0
1143803202301544_10156081328535229,"Why is Africa's largest lake dying?

(Via BBC Africa)",The decline of Lake Victoria,video,https://www.facebook.com/bbc/videos/10156081328535229/,2017-11-29 02:40:00,46,6,11,30,1,2,0,13,0,0
1143803202301544_1773700019330213,"These king penguin chicks definitely get our (elephant) seal of approval! 
#OurBluePlanet #BluePlanet2 (Via BBC Earth)",Our Blue Planet: King penguin and elephant seal 360,video,https://www.facebook.com/bbc/videos/1773700019330213/,2017-11-28 14:14:00,201,22,33,162,26,11,2,0,0,0
1143803202301544_2020498387965350,"Prince Harry and Meghan Markle will marry at St George's Chapel at Windsor Castle, Kensington Palace has said. ❤️️ 💍",Harry and Meghan to wed in Windsor in May,link,http://bbc.in/2idvsOk,2017-11-28 11:43:00,486,33,24,411,62,2,1,0,9,1
1143803202301544_1460146190773868,Raven is back on CBBC and it looks awesome. 🌲🔮,Raven is coming back to CBBC,video,https://www.facebook.com/bbc/videos/1460146190773868/,2017-11-28 10:38:46,1762,1784,276,1432,201,116,9,1,2,1
1143803202301544_1792026767483108,"Meet the women pushing young girls into school - and not marriage. (Via BBC World Service)

#BBCInnovators",BBC Innovators: Educating Girls,video,https://www.facebook.com/bbc/videos/1792026767483108/,2017-11-28 09:14:00,104,6,9,92,11,1,0,0,0,0
1143803202301544_2020234764658379,Twice Upon a Time. Coming this Christmas.,BBC One,video,https://www.facebook.com/BBCOne/videos/2134150096599006/,2017-11-28 06:24:12,91,10,0,75,13,1,0,2,0,0
1143803202301544_1378715085570989,"Five years ago, Andy's life was turned upside down when he had a stroke.

Since then, he’s applied for over 3,000 jobs… but has only been offered ONE interview.",Employable Me: Andy's Story,video,https://www.facebook.com/bbc/videos/1378715085570989/,2017-11-28 04:47:05,1502,65,373,1029,343,10,0,117,3,0
1143803202301544_1772413336125548,"This is amazing. The crucial reason why thousands of spider crabs will gather together. 🦀 

#BluePlanet2",Blue Planet II: A gathering of spider crabs,video,https://www.facebook.com/bbc/videos/1772413336125548/,2017-11-28 02:26:00,341,31,49,274,12,52,2,1,0,0
1143803202301544_2018981871450335,"Sophia isn't pre-programmed with answers, using machine learning instead.",Humanoid robot Sophia says she wants a baby,link,http://bbc.in/2zv9wSx,2017-11-27 15:31:00,180,74,44,99,4,25,39,3,9,1
1143803202301544_2018938494788006,A woman was asked for ID over a mince pie - so how much alcohol is in the festive treats and are they OK for kids?,Are mince pies too boozy for children?,link,http://bbc.in/2jpPnGs,2017-11-27 14:22:00,34,22,5,22,1,0,11,0,0,0
1143803202301544_1675330039154074,"When Michael McIntyre's in disguise and you get a big surprise, that's amore! 🍕😂🎶 (Via BBC One)",The Unexpected Star | Michael McIntyre's Big Show,video,https://www.facebook.com/bbc/videos/1675330039154074/,2017-11-27 12:33:00,195,9,15,153,19,2,21,0,0,0
