status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
15704546335_10156364200526336,"“I did not mean to break news.”

President Donald J. Trump's personal attorney claimed responsibility for the president' tweet about firing Michael Flynn that sparked speculation about if the president had obstructed justice.",Trump lawyer takes blame for Flynn tweet,link,http://www.foxnews.com/politics/2017/12/03/trump-lawyer-takes-blame-for-flynn-tweet-did-not-mean-to-break-news.html,2017-12-03 16:30:00,109,88,13,72,8,3,23,0,4,-1
15704546335_10156362528821336,"""Every single day we're spending nineteen million dollars, in taxpayer dollars, to house illegal immigrants who are in jail waiting to be deported.""– Bre Payton http://bit.ly/2zM5IMv",Bre Payton,video,https://www.facebook.com/FoxNews/videos/10156362528821336/,2017-12-03 16:00:00,1538,352,413,564,8,122,18,56,773,-3
15704546335_10156362877276336,"President Donald J. Trump again took up the cause of former national security adviser Mike Flynn last night, complaining that Flynn's ""life is destroyed"" while Hillary Clinton escaped legal reckoning. http://fxn.ws/2ARMTf9",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10156362877276336/?type=3,2017-12-03 15:33:39,7952,1251,1426,6607,356,71,113,80,727,-2
15704546335_10156364074576336,The controversial host apologized Sunday.,UNEARTHED: Anti-gay blog posts by MSNBC host Joy Reid,link,http://www.foxnews.com/us/2017/12/03/msnbc-host-joy-reid-targets-crist-with-anti-gay-comments-in-old-blog-posts.html,2017-12-03 15:15:37,1641,692,356,479,11,316,691,15,128,1
15704546335_10156363556306336,"In 1986, Donald J. Trump and Parks were both awarded the Ellis Island Medal of Honor.",WATCH: Trump Honors Rosa Parks on 62nd Anniversary of Bus Boycott,link,http://insider.foxnews.com/2017/12/03/donald-trump-honors-rosa-parks-62nd-anniversary-montgomery-bus-boycott,2017-12-03 15:00:00,5494,282,866,4815,591,45,39,1,3,0
15704546335_10156363894216336,"While most networks offered mixed coverage to the trial of an illegal immigrant accused of killing Kate Steinle, one network ignored the case's verdict altogether, Pete Hegseth reported.",'0 Minutes': MSNBC Ignores Kate Steinle Trial Verdict,link,http://insider.foxnews.com/2017/12/03/msnbc-does-not-cover-kate-steinle-murder-trial-verdict-against-illegal-immigrant,2017-12-03 14:37:32,3293,477,1144,794,12,445,36,172,1834,0
15704546335_10156362531811336,"""There needs to be an investigation of the investigation.""

On a far-ranging interview on ""FOX & Friends Weekend,"" Mike Huckabee gave his take on the Mueller investigation. http://bit.ly/2jJ10s7",Mike Huckabee,video,https://www.facebook.com/FoxNews/videos/10156362531811336/,2017-12-03 14:30:00,2054,366,367,1759,138,14,131,0,11,1
15704546335_10156362996541336,"""What we haven’t known, until now, is that a frantic scramble erupted in the halls of the FBI to cover up this meeting,"" writes Tom Fitton.",Fitton: New documents reveal FBI's Clinton cover-up,link,http://www.foxnews.com/opinion/2017/12/03/new-documents-reveal-fbis-clinton-cover-up.html,2017-12-03 14:00:00,8312,1130,2331,4497,58,1041,261,52,2400,3
15704546335_10156363620631336,"In an interview this morning, Sen. Lindsey Graham had a message for President Donald J. Trump.",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10156363620631336/?type=3,2017-12-03 13:35:54,5262,4888,315,1642,105,141,1868,36,1466,4
15704546335_10156363512726336,"""We know that James Comey was basically letting Hillary Clinton off with nothing but a public slap on the wrist. Now we know that another FBI agent who was working on that particular case was biased against President Trump."" – Ben Shapiro",Ben Shapiro,video,https://www.facebook.com/FoxNews/videos/10156363512726336/,2017-12-03 13:26:19,5025,671,1189,3725,58,281,74,40,847,0
15704546335_10156363114966336,"Thousands gather to celebrate the lighting of a Christmas tree at Manger Square, outside the Church of the Nativity, in the West Bank city of Bethlehem.",Christmas in Bethlehem,video,https://www.facebook.com/FoxNews/videos/10156363114966336/,2017-12-03 13:15:00,3302,120,434,2724,543,34,1,0,1,-1
15704546335_10156363450081336,"JUST IN: Clemson, Oklahoma, Georgia and Alabama were selected on Sunday for the College Football Playoff.","Clemson, Oklahoma, Georgia and Alabama picked for College Football Playoff",link,http://www.foxnews.com/sports/2017/12/03/clemson-oklahoma-georgia-and-alabama-picked-for-college-football-playoff.html,2017-12-03 13:00:13,2590,739,411,1936,193,43,43,22,351,2
15704546335_10156362427006336,"In an interview with Teen Vogue, failed 2016 presidential candidate Hillary Clinton slammed the ""absolutely horrible tax cut plan"" passed by the Senate.",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10156362427006336/?type=3,2017-12-03 12:45:00,8322,10930,679,1355,70,86,4818,87,1904,2
15704546335_10156362973001336,"""[Elizabeth Warren] lied to advance herself. She exploited Native American heritage.""

On ""Watters' World,"" Tomi Lahren did not hold back slamming the Massachusetts senator President Donald J. Trump likes to call ""Pocahontas."" http://bit.ly/2iIOxsf",Tomi Lahren,video,https://www.facebook.com/FoxNews/videos/10156362973001336/,2017-12-03 12:25:00,4300,889,526,3277,244,32,670,10,62,5
15704546335_10156362988041336,"Jared Kushner, Senior Adviser to President Donald J. Trump, joins the Saban Forum to discuss the Trump Administration's approach to the Middle East.",,video,https://www.facebook.com/FoxNews/videos/10156362988041336/,2017-12-03 12:03:01,3788,3054,582,2593,819,20,71,12,270,3
