status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
18468761129_10155648170311130,"The man said that as a teenager he saw Levine as a mentor, who gave him gifts like conductor batons and encouraged him to come to New York to audition as a conductor.",Famed Met Opera Conductor Accused Of Molesting Teen For Years,link,http://huffp.st/HMHEBrm,2017-12-03 16:30:04,56,14,15,9,0,9,0,4,35,-1
18468761129_10155648093191130,"Congrats, Kesha!","Kesha Nominated For First Grammys, Years After Accusing Producer Of Rape",link,http://huffp.st/nLa2tl0,2017-12-03 16:00:07,1370,21,29,1148,214,2,5,1,0,0
18468761129_10155648023766130,Last month McConnell said he believed the women and called on Moore to “step aside” for a more qualified candidate.,Mitch McConnell Walks Back Roy Moore Criticism,link,http://huffp.st/ozTTVzM,2017-12-03 15:30:13,510,225,62,33,1,12,31,15,418,0
18468761129_10155647959441130,"""'House of Cards' is ruined, and that really sucks. Well here's a list of stuff that's ruined for us.""",'SNL's' 'Welcome To Hell' Skit On Sexual Harassment Is The Anthem We Need,link,http://huffp.st/LdqR4fj,2017-12-03 15:00:11,3889,73,788,2963,658,7,258,2,1,0
18468761129_10155647878116130,The $69 billion deal will be this year’s largest corporate acquisition.,CVS Agrees To Buy Aetna In A $69 Billion Deal,link,http://huffp.st/ym24SHq,2017-12-03 14:34:27,439,57,166,146,1,247,1,1,43,0
18468761129_563499703994181,We’re all about Issa Rae and her new ad for COVERGIRL.,Issa Rae’s Covergirl Moment | HuffPost Entertainment,video,https://www.facebook.com/HuffPost/videos/563499703994181/,2017-12-03 14:15:00,396,26,38,303,90,0,3,0,0,0
18468761129_10155647749781130,"The president’s tweet was problematic enough for him that his personal attorney publicly took credit for writing it, calling the tweet “sloppy.”","Top Democrat Says Trump May Have Obstructed Justice, Based On His Own Tweets",link,http://huffp.st/pnQfCrb,2017-12-03 14:00:09,1348,165,112,1046,74,29,178,5,16,0
18468761129_563499330660885,"President Donald J. Trump repeatedly claims he never settles lawsuits. That is, until he settles them.",Trump Never Settles Lawsuits. Until He Does. | HuffPost Politics,video,https://www.facebook.com/HuffPost/videos/563499330660885/,2017-12-03 13:15:00,986,256,258,290,4,27,468,16,181,0
18468761129_563499213994230,She’s showing off a whole new look.,Barbie Backs Marriage Equality | HuffPost Politics,video,https://www.facebook.com/HuffPost/videos/563499213994230/,2017-12-03 13:15:00,366,32,47,255,95,9,3,1,3,0
18468761129_10155647606536130,The president of the U.N. General Assembly expressed disappointment and regret at Trump’s decision.,Trump Withdraws U.S. From UN Migrant And Refugee Compact,link,http://huffp.st/PADcbI0,2017-12-03 13:00:11,2551,184,399,217,21,67,11,368,1867,0
18468761129_10155647509206130,"President Donald Trump took to Twitter Sunday morning to declare that the FBI’s reputation “is in tatters.""","Trump Attacks The FBI On Twitter, Urges Followers To Sue ABC News",link,http://huffp.st/RlAiz3y,2017-12-03 12:30:15,4069,1138,381,345,20,264,1920,89,1431,0
