status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
273864989376427_291159854724153,"Ari Melber breaks down the key moments that led to Michael Flynn's likely flipping and what Mueller's newly released plea documents tell us.

Via The Beat With Ari Melber",Ari Melber breaks down Flynn guilty plea,video,https://www.facebook.com/msnbc/videos/291159854724153/,2017-12-03 16:36:44,18,7,3,14,4,0,0,0,0,0
273864989376427_1845670765529167,"President Trump's personal lawyer took responsibility for the tweet, saying that he drafted it and then sent it to White House Social Media Director Dan Scavino to publish.",Does Trump’s tweet on Flynn plea incriminate president?,video,http://on.msnbc.com/2jJAzmq,2017-12-03 16:17:47,281,250,27,106,4,6,136,2,28,-1
273864989376427_1845613458868231,Republican Sen. Susan Collins said she received numerous promises before she was able to cast her vote in favor of the Senate’s tax bill.,Sen. Collins outlines deal-making behind tax vote,link,http://on.msnbc.com/2jHE10A,2017-12-03 15:29:51,1757,1132,215,143,5,46,77,190,1296,0
273864989376427_1845550998874477,"“I’m going to let the people of Alabama make the call,"" Senate Majority Leader Mitch McConnell said.",McConnell walks back call for Roy Moore to step aside,link,http://on.msnbc.com/2ibfDEl,2017-12-03 14:39:35,668,430,58,66,6,14,65,18,499,0
273864989376427_1845459278883649,The tweet caused an uproar in Washington because it implied President Trump knew Michael Flynn had committed a felony — lying to the FBI — when he told then-FBI director James Comey to go easy on Flynn the day after the firing.,Trump's lawyer claims responsibility for president's problematic tweet,link,http://on.msnbc.com/2jGGYia,2017-12-03 13:38:01,1533,926,239,316,8,78,893,9,229,0
273864989376427_1845273698902207,"A Senate investigation into President Trump's possible connections to Russia has revealed a possible obstruction of justice case against the president, Sen. Dianne Feinstein said.","Senate Russia investigation building obstruction of justice case against Trump, Feinstein says",link,http://on.msnbc.com/2icghkQ,2017-12-03 10:38:47,1439,251,215,1157,192,21,61,1,7,0
273864989376427_1842765735819670,"Watch Blackwater executive Erik Prince, brother of Betsy Devos and Trump supporter, react to Michael Flynn's guilty plea.

See more: http://on.msnbc.com/2ANI4mW",Erik Prince: Don't lie or don't talk to the F.B.I.,video,https://www.facebook.com/msnbc/videos/1842765735819670/,2017-12-02 21:21:16,1324,546,318,540,18,229,336,23,178,0
273864989376427_1844486928980884,"Rep. Waters calls the GOP tax reform bill a ""tax scam.""","Maxine Waters: ""They are now tax-and-spend Republicans""",video,http://on.msnbc.com/2i9HuVp,2017-12-02 20:30:22,1180,380,151,935,82,13,69,27,54,0
273864989376427_1844439392318971,"Michael Flynn pleaded guilty to lying to the FBI, but did he turn over Jared Kushner or others close to Donald Trump to Robert Mueller as part of what experts call a lenient deal?",Why Flynn likely gave up big names to Robert Mueller,video,http://on.msnbc.com/2jF26VK,2017-12-02 19:30:11,910,306,80,674,103,16,110,1,6,0
273864989376427_1844368505659393,"President Trump offered his thoughts on the special counsel's plea deal with Michael Flynn, but it is unclear whether he is admitting to firing his former national security advisor because he knew at the time about Flynn's lie to the FBI.","Fmr. Watergate prosecutor: ""Plenty of evidence"" for obstruction",video,http://on.msnbc.com/2icWd1U,2017-12-02 18:30:05,1283,303,172,962,149,25,127,3,17,0
273864989376427_1844317595664484,Are Michael Flynn's admissions comparable to the Nixonian machinations that brought down a presidency?,How the Flynn plea deal is reminiscent of Watergate-era behavior,video,http://on.msnbc.com/2ib8vYw,2017-12-02 17:30:15,818,289,109,602,74,21,107,2,12,0
273864989376427_1844258339003743,"Flynn's plea deal raises the question of who knew what, when?","Gen. McCaffrey: ""No way"" Trump wasn't involved in Flynn's contacts with the Russians",video,http://on.msnbc.com/2i8ZfnU,2017-12-02 16:40:58,1219,196,149,928,72,28,174,7,10,0
273864989376427_2186103094743042,"WATCH: Sen. McConnell responds to claims that there were last-minute changes to the GOP tax reform bill: ""The core of the bill everybody was familiar with.""",Mitch McConnell responds to claims about GOP tax bill,video,https://www.facebook.com/msnbc/videos/2186103094743042/,2017-12-02 16:00:00,6058,3941,1166,518,18,75,316,115,5016,0
273864989376427_1844163079013269,"“I had to fire General Flynn because he lied to the Vice President and the FBI,” President Trump tweeted Saturday morning.",Trump tweet suggests he knew Flynn lied to FBI at time of firing,video,http://on.msnbc.com/2i9n2nx,2017-12-02 15:20:59,2865,1230,452,901,42,262,1286,18,357,-1
273864989376427_1844113379018239,"“I had to fire General Flynn because he lied to the Vice President and the FBI,” Trump tweeted Saturday morning.",Trump tweet suggests he knew Flynn had lied to FBI at time of firing,link,http://on.msnbc.com/2jFiJRc,2017-12-02 14:45:16,1822,673,267,605,25,253,838,11,90,0
273864989376427_1844082895687954,"Special counsel Robert Mueller removed a top FBI agent over the summer helping to investigate Russian interference in the 2016 election, a spokesman for Mueller's office said.",Mueller reassigned top FBI agent in Russia probe,link,http://on.msnbc.com/2idhGrH,2017-12-02 14:20:21,422,110,26,338,45,32,3,1,3,0
273864989376427_1844063005689943,"Before joining the Trump campaign, Michael Flynn had a long and decorated military career.",From decorated officer to felon: Who is Mike Flynn?,video,http://on.msnbc.com/2jDTizA,2017-12-02 14:00:37,110,97,26,55,4,8,7,13,23,0
273864989376427_1843975789031998,A former aide accused Nevada Rep. Ruben Kihuen of making repeated sexual advances toward her during his 2016 campaign.,Nevada congressman faces calls to resign amid harassment allegations,link,http://on.msnbc.com/2jHXRsu,2017-12-02 13:03:39,255,72,44,156,9,37,14,5,34,0
273864989376427_1843968922366018,How will the Trump White House plan for Mueller's next move?,Trump lawyers did not know Flynn guilty plea was coming,video,http://on.msnbc.com/2jDX5Nq,2017-12-02 13:00:12,552,219,36,253,46,13,235,1,4,0
273864989376427_1843903955705848,"President Trump said that people were going to be “very, very happy.”","Trump heralds ""tremendous"" tax reform after GOP bill clears Senate",link,http://on.msnbc.com/2i8Wlzp,2017-12-02 12:10:03,1236,754,55,124,22,12,123,43,912,0
273864989376427_2185574254795926,"WATCH: President Trump breaks his silence on Michael Flynn's guilty plea.

NBC News' Geoff Bennett: ""Are you concerned about what Michael Flynn might tell the special counsel?""

President Trump: ""No, I'm not.""",President Trump breaks silence on Flynn,video,https://www.facebook.com/msnbc/videos/2185574254795926/,2017-12-02 11:55:15,2563,1613,414,434,37,50,1565,19,458,0
273864989376427_2185573044796047,"NBC News' Geoff Bennett: ""Are you concerned about what Michael Flynn might tell the special counsel?""

President Trump: ""No, I'm not.""

WATCH: President Trump breaks his silence on Michael Flynn's guilty plea.",President Trump breaks silence on Flynn,video,https://www.facebook.com/msnbc/videos/2185573044796047/,2017-12-02 11:54:27,933,572,79,157,10,14,583,7,162,0
273864989376427_1843850449044532,"Ajit Pai explains what a ""free and open internet"" means.",FCC chairman on the debate over net neutrality,video,http://on.msnbc.com/2i8tB9X,2017-12-02 11:20:38,220,68,27,48,1,5,8,4,154,0
273864989376427_1843838632379047,LIVE: President Trump makes remarks on GOP tax bill at New York City fundraiser.,NBC News,video,https://www.facebook.com/NBCNews/videos/2185332214820130/,2017-12-02 11:11:18,1442,474,0,136,25,11,87,22,1161,0
273864989376427_1475782605809914,"Sen. Lindsey Graham was one of the first Republican senators to say Donald Trump is a ""mad man.""

But now, what he says about those who call the president a ""kook"" and ""unfit for office"" sounds a bit different.

Watch: http://on.msnbc.com/2zTmLk6",Lindsey Graham changes his tune on Trump's fitness for office,video,https://www.facebook.com/msnbc/videos/1475782605809914/,2017-12-02 06:00:00,1466,691,353,462,7,68,308,47,574,0
273864989376427_965226430309049,At the very heart of today's Michael Flynn news are the repeated lies or false statements made by members of the Trump administration.,The original Michael Flynn lies,video,https://www.facebook.com/msnbc/videos/965226430309049/,2017-12-02 05:00:01,1824,325,436,1405,36,108,192,17,65,1
273864989376427_1843350985761145,"Before joining the Trump campaign, Michael Flynn and a long and decorated military career. Gen. Barry McCaffrey - who knows Flynn - and former U.S. Ambassador Mike McFaul discuss.",From decorated officer to felon: Who is Mike Flynn?,video,http://on.msnbc.com/2ia8jsK,2017-12-02 03:31:03,360,286,62,200,6,14,70,44,26,0
