status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10513336322_10156262545026323,"“It is so frustrating watching the country head towards a potential barren land for research. There seems to be a lack of understanding that developing and securing funding for research proposals can take up to 18 months. Life-changing medical, scientific and technological research will be delayed unless we get assurances soon.”",Fears grow over EU university funding as grants decline even before Brexit,link,https://www.theguardian.com/education/2017/dec/03/eu-university-funding-grants-decline-brexit-horizon-2020?CMP=fb_gu,2017-12-03 16:00:00,216,17,78,96,1,7,6,65,41,0
10513336322_10156262654106323,"“I cannot have peaceful sleep at night. I cannot explain how difficult it is to accept that those who gang-raped and murdered my daughter so brutally are still alive. I fight with myself every day. The question comes every time to mind: what was Jyoti’s fault? What did she do? I have no answer. We are still waiting for justice.”

Her eyes fill with tears. No one can really appreciate their pain, she says.

“I lost my daughter. I know she will never come back again. But the work I am doing in her memory will save a lot of daughters from brutal rapes in India. I will continue to raise my voice against rapes while I am alive, whether I have people on my side or not.”","Five years after the gang-rape and murder of Jyoti Singh, what has changed for women in India?",link,https://www.theguardian.com/society/2017/dec/03/five-years-after-gang-murder-jyoti-singh-how-has-delhi-changed?CMP=fb_gu,2017-12-03 15:40:00,364,17,70,154,10,0,0,143,57,0
10513336322_10156262648276323,"""I thought the culture wars were won when New Order got John Barnes to do a rap on their 1990 World Cup single. I expect I was too busy being ironically racist in a Shoreditch bar, drinking Grolsch from a pop-top bottle and toasting Tony Blair. It’s not only Eric Clapton who has a shameful past.""",Can Harry and Meghan make Britain whole again? | Stewart Lee,link,https://www.theguardian.com/commentisfree/2017/dec/03/prince-harry-meghan-markle-make-britain-whole-again-stewart-lee?CMP=fb_gu,2017-12-03 15:20:00,139,44,20,103,5,1,29,0,1,0
10513336322_10156263758671323,“Of course I would take it. I have said that right from day one. Why should my family and others suffer even more?”,Nigel Farage criticised for saying he will keep EU pension,link,https://www.theguardian.com/politics/2017/dec/03/nigel-farage-criticised-for-saying-he-will-keep-eu-pension?CMP=fb_gu,2017-12-03 15:14:06,1219,433,218,248,11,33,358,6,563,0
10513336322_10156262204751323,"Also among the forbidden are a collection of Shakespeare sonnets, Where’s Waldo? Santa Spectacular and Homer Simpson’s Little Book of Laziness. Satan's Sorcery Volume 1 is fine though.",Texas prisons ban The Color Purple and Monty Python – but Mein Kampf is fine,link,https://www.theguardian.com/us-news/2017/dec/02/texas-prisons-ban-books-mein-kampf-color-purple?CMP=fb_gu,2017-12-03 15:00:00,625,34,244,145,2,152,51,13,262,0
10513336322_10156263650576323,"""The Home Office have had my passport for over a year and I have no idea when I will get it back.""","Home Office putting UK's research reputation at risk, says Jeremy Corbyn",link,https://www.theguardian.com/uk-news/2017/dec/03/corbyn-visa-policy-puts-uks-global-reputation-research-risk?CMP=fb_gu,2017-12-03 14:45:30,195,18,40,109,5,10,2,7,62,0
10513336322_10156262609911323,"""We forget so fast, the words we were immune to in our youth.""",The real hate club: we shouldn’t scroll back too far in the Twittersphere | Eva Wiseman,link,https://www.theguardian.com/lifeandstyle/2017/dec/03/the-real-hate-club-we-should-not-scroll-back-too-far-in-the-twittershere-eva-wiseman?CMP=fb_gu,2017-12-03 14:40:00,43,9,1,36,5,1,0,1,0,0
10513336322_10156262604001323,"""This is Britain’s self-inflicted snare: to be rupturing its relationship with its traditional partners on its own continent, just as its traditional ally across the Atlantic has gone rogue.""",Trump’s contempt illuminates Britain’s fragile place in the world | Andrew Rawnsley,link,https://www.theguardian.com/commentisfree/2017/dec/03/trumps-contempt-illuminates-britains-fragile-place-in-the-world?CMP=fb_gu,2017-12-03 14:20:00,304,58,89,213,4,5,32,40,10,0
10513336322_10156262592691323,"""The rhetoric of opportunity – Theresa May’s British dream – flows so easily off the tongue. But without a commitment to loosen the top’s grasp on privilege, it’s nothing more than a dishonest sham.""",The Observer view on Theresa May’s promise to create a meritocracy | Observer editorial,link,https://www.theguardian.com/commentisfree/2017/dec/02/social-mobility-education-uk-government-cuts?CMP=fb_gu,2017-12-03 14:00:00,114,18,25,90,3,2,1,11,7,0
10513336322_10156262586456323,"""The most powerful leader in the world tweets like a teenage Nazi on 4chan whose sole aim is to create outrage.""",When crude tweets set the global agenda we are surely in a new age of politics | Kenan Malik,link,https://www.theguardian.com/commentisfree/2017/dec/03/when-crude-tweets-set-the-global-agenda-we-are-surely-in-a-new-age-of-politics?CMP=fb_gu,2017-12-03 13:40:00,399,66,80,284,4,4,11,30,66,0
